Entity,Year,Ratio of inbound to outbound tourist trips
Iceland,1995,1.1445783
Iceland,1996,1.0578947
Iceland,1997,0.9950739
Iceland,1998,1.0220264
Iceland,1999,1.0233463
Iceland,2000,1.0706713
Iceland,2005,1.0274725
Iceland,2006,0.9590909
Iceland,2007,1.0543479
Iceland,2008,1.2125604
Iceland,2009,1.9073359
Iceland,2010,1.6354516
Iceland,2011,1.659824
Iceland,2012,1.8798883
Iceland,2013,2.2117808
Iceland,2014,2.4925
Iceland,2015,2.8644445
Iceland,2016,3.3432837
Iceland,2017,3.5945072
Iceland,2018,3.5086827
Iceland,2019,3.294599
Iceland,2020,3.7407691
Iceland,2021,3.1872146
Turkey,1995,1.7792011
Turkey,1996,1.8695142
Turkey,1997,1.9512196
Turkey,1998,1.9474027
Turkey,1999,1.448718
Turkey,2000,1.8141559
Turkey,2001,2.220552
Turkey,2002,2.4926915
Turkey,2003,2.2505062
Turkey,2004,2.3052473
Turkey,2005,2.4585254
Turkey,2006,2.2859213
Turkey,2007,5.270783
Turkey,2008,6.088698
Turkey,2009,5.4283404
Turkey,2010,4.783285
Turkey,2011,5.516396
Turkey,2012,6.1516457
Turkey,2013,5.021924
Turkey,2014,4.987597
Turkey,2015,4.5112557
Turkey,2016,3.837937
Turkey,2017,4.2310114
Turkey,2018,5.4596205
Turkey,2019,5.304321
Turkey,2020,7.0860453
Turkey,2021,10.92951
Turkey,2022,6.9427547
