Entity,Year,Sex ratio
British Virgin Islands,1950,100.833336
British Virgin Islands,1951,100.86957
British Virgin Islands,1952,101.72414
British Virgin Islands,1953,101.72414
British Virgin Islands,1954,102.586205
British Virgin Islands,1955,102.5641
British Virgin Islands,1956,102.54237
British Virgin Islands,1957,102.5641
British Virgin Islands,1958,102.54237
British Virgin Islands,1959,102.5
British Virgin Islands,1960,102.459015
British Virgin Islands,1961,103.25203
British Virgin Islands,1962,103.25203
British Virgin Islands,1963,103.27869
British Virgin Islands,1964,103.305786
British Virgin Islands,1965,104.166664
British Virgin Islands,1966,104.09836
British Virgin Islands,1967,103.125
British Virgin Islands,1968,102.94118
British Virgin Islands,1969,103.42466
British Virgin Islands,1970,103.870964
British Virgin Islands,1971,103.184715
British Virgin Islands,1972,103.947365
British Virgin Islands,1973,104.7619
British Virgin Islands,1974,104.8951
British Virgin Islands,1975,105
British Virgin Islands,1976,105.10949
British Virgin Islands,1977,105.970146
British Virgin Islands,1978,106.87023
British Virgin Islands,1979,106.15385
British Virgin Islands,1980,103.731346
British Virgin Islands,1981,103.649635
British Virgin Islands,1982,104.347824
British Virgin Islands,1983,104.31654
British Virgin Islands,1984,105.03597
British Virgin Islands,1985,105.71429
British Virgin Islands,1986,104.8951
British Virgin Islands,1987,105.51724
British Virgin Islands,1988,104
British Virgin Islands,1989,102.515724
British Virgin Islands,1990,97.126434
British Virgin Islands,1991,95.34884
British Virgin Islands,1992,100.64935
British Virgin Islands,1993,103.355705
British Virgin Islands,1994,103.289474
British Virgin Islands,1995,103.870964
British Virgin Islands,1996,103.77358
British Virgin Islands,1997,103.680984
British Virgin Islands,1998,104.216866
British Virgin Islands,1999,104.14201
British Virgin Islands,2000,103.48837
British Virgin Islands,2001,103.14465
British Virgin Islands,2002,102.12766
British Virgin Islands,2003,102.836876
British Virgin Islands,2004,106.62251
British Virgin Islands,2005,110.559006
British Virgin Islands,2006,111.111115
British Virgin Islands,2007,109.23913
British Virgin Islands,2008,107.42574
British Virgin Islands,2009,107.14286
British Virgin Islands,2010,105.09554
British Virgin Islands,2011,104.31654
British Virgin Islands,2012,104.1958
British Virgin Islands,2013,104.861115
British Virgin Islands,2014,104.96894
British Virgin Islands,2015,105.11364
British Virgin Islands,2016,104.96894
British Virgin Islands,2017,104.6875
British Virgin Islands,2018,105
British Virgin Islands,2019,105.14706
British Virgin Islands,2020,104.7619
British Virgin Islands,2021,105.26316
British Virgin Islands,2022,104.458595
British Virgin Islands,2023,104.375
Bonaire Sint Eustatius and Saba,1950,102.77778
Bonaire Sint Eustatius and Saba,1951,102.77778
Bonaire Sint Eustatius and Saba,1952,103.73832
Bonaire Sint Eustatius and Saba,1953,103.73832
Bonaire Sint Eustatius and Saba,1954,103.73832
Bonaire Sint Eustatius and Saba,1955,104.62963
Bonaire Sint Eustatius and Saba,1956,103.63636
Bonaire Sint Eustatius and Saba,1957,103.60361
Bonaire Sint Eustatius and Saba,1958,101.73913
Bonaire Sint Eustatius and Saba,1959,98.34711
Bonaire Sint Eustatius and Saba,1960,97.47899
Bonaire Sint Eustatius and Saba,1961,100.92593
Bonaire Sint Eustatius and Saba,1962,103.809525
Bonaire Sint Eustatius and Saba,1963,103.63636
Bonaire Sint Eustatius and Saba,1964,104.347824
Bonaire Sint Eustatius and Saba,1965,105.882355
Bonaire Sint Eustatius and Saba,1966,106.50407
Bonaire Sint Eustatius and Saba,1967,106.349205
Bonaire Sint Eustatius and Saba,1968,107.08662
Bonaire Sint Eustatius and Saba,1969,106.29921
Bonaire Sint Eustatius and Saba,1970,105.6
Bonaire Sint Eustatius and Saba,1971,105.882355
Bonaire Sint Eustatius and Saba,1972,105.4054
Bonaire Sint Eustatius and Saba,1973,104.71698
Bonaire Sint Eustatius and Saba,1974,103.66972
Bonaire Sint Eustatius and Saba,1975,101.73913
Bonaire Sint Eustatius and Saba,1976,100.833336
Bonaire Sint Eustatius and Saba,1977,100
Bonaire Sint Eustatius and Saba,1978,100.80645
Bonaire Sint Eustatius and Saba,1979,100.80645
Bonaire Sint Eustatius and Saba,1980,101.65289
Bonaire Sint Eustatius and Saba,1981,103.333336
Bonaire Sint Eustatius and Saba,1982,104
Bonaire Sint Eustatius and Saba,1983,103.90625
Bonaire Sint Eustatius and Saba,1984,103.149605
Bonaire Sint Eustatius and Saba,1985,103.17461
Bonaire Sint Eustatius and Saba,1986,102.38095
Bonaire Sint Eustatius and Saba,1987,103.2
Bonaire Sint Eustatius and Saba,1988,104.03226
Bonaire Sint Eustatius and Saba,1989,106.50407
Bonaire Sint Eustatius and Saba,1990,110.833336
Bonaire Sint Eustatius and Saba,1991,115.38461
Bonaire Sint Eustatius and Saba,1992,115.51724
Bonaire Sint Eustatius and Saba,1993,107.62712
Bonaire Sint Eustatius and Saba,1994,102.54237
Bonaire Sint Eustatius and Saba,1995,101.694916
Bonaire Sint Eustatius and Saba,1996,102.586205
Bonaire Sint Eustatius and Saba,1997,104.38596
Bonaire Sint Eustatius and Saba,1998,102.65487
Bonaire Sint Eustatius and Saba,1999,98.24561
Bonaire Sint Eustatius and Saba,2000,93.22034
Bonaire Sint Eustatius and Saba,2001,94.78261
Bonaire Sint Eustatius and Saba,2002,102.9703
Bonaire Sint Eustatius and Saba,2003,108.24742
Bonaire Sint Eustatius and Saba,2004,110.89109
Bonaire Sint Eustatius and Saba,2005,113.46154
Bonaire Sint Eustatius and Saba,2006,113.888885
Bonaire Sint Eustatius and Saba,2007,114.41441
Bonaire Sint Eustatius and Saba,2008,113.1579
Bonaire Sint Eustatius and Saba,2009,111.206894
Bonaire Sint Eustatius and Saba,2010,106.72269
Bonaire Sint Eustatius and Saba,2011,109.32204
Bonaire Sint Eustatius and Saba,2012,114.166664
Bonaire Sint Eustatius and Saba,2013,111.62791
Bonaire Sint Eustatius and Saba,2014,113.6
Bonaire Sint Eustatius and Saba,2015,111.01695
Bonaire Sint Eustatius and Saba,2016,98.36066
Bonaire Sint Eustatius and Saba,2017,91.935486
Bonaire Sint Eustatius and Saba,2018,88.70968
Bonaire Sint Eustatius and Saba,2019,88.61789
Bonaire Sint Eustatius and Saba,2020,96.12403
Bonaire Sint Eustatius and Saba,2021,110.44776
Bonaire Sint Eustatius and Saba,2022,118.24818
Bonaire Sint Eustatius and Saba,2023,111.26761
