symbol,observation_date,VALUE
CN,1990/1/1,100
CN,1990/4/1,101.1
CN,1990/7/1,102.1
CN,1990/10/1,102.9
CN,1991/1/1,103.9
CN,1991/4/1,105
CN,1991/7/1,105.8
CN,1991/10/1,106.4
CN,1992/1/1,107.8
CN,1992/4/1,108.4
CN,1992/7/1,108.9
CN,1992/10/1,108.3
CN,1993/1/1,108.4
CN,1993/4/1,108.5
CN,1993/7/1,108.6
CN,1993/10/1,108.9
CN,1994/1/1,110.2
CN,1994/4/1,110.3
CN,1994/7/1,110.1
CN,1994/10/1,109.8
CN,1995/1/1,110.7
CN,1995/4/1,111.6
CN,1995/7/1,112.7
CN,1995/10/1,112.9
CN,1996/1/1,115.4
CN,1996/4/1,116.6
CN,1996/7/1,118
CN,1996/10/1,118
CN,1997/1/1,119.5
CN,1997/4/1,120.5
CN,1997/7/1,120.9
CN,1997/10/1,120.4
CN,1998/1/1,122.3
CN,1998/4/1,122.2
CN,1998/7/1,122.4
CN,1998/10/1,122.2
CN,1999/1/1,123.2
CN,1999/4/1,124.1
CN,1999/7/1,124.5
CN,1999/10/1,124.2
CN,2000/1/1,125.9
CN,2000/4/1,124.9
CN,2000/7/1,125.8
CN,2000/10/1,125
CN,2001/1/1,126.8
CN,2001/4/1,126.4
CN,2001/7/1,127.3
CN,2001/10/1,126.9
CN,2002/1/1,128.7
CN,2002/4/1,129.3
CN,2002/7/1,130.2
CN,2002/10/1,129.6
CN,2003/1/1,131.7
CN,2003/4/1,132.1
CN,2003/7/1,132.3
CN,2003/10/1,131.7
CN,2004/1/1,133.1
CN,2004/4/1,132.7
CN,2004/7/1,133.5
CN,2004/10/1,132.2
CN,2005/1/1,133
CN,2005/4/1,134.1
CN,2005/7/1,135.1
CN,2005/10/1,135.9
CN,2006/1/1,137.5
CN,2006/4/1,139.6
CN,2006/7/1,140.9
CN,2006/10/1,140.5
CN,2007/1/1,142.3
CN,2007/4/1,143.3
CN,2007/7/1,145.1
CN,2007/10/1,145.1
CN,2008/1/1,147.4
CN,2008/4/1,150.8
CN,2008/7/1,153.3
CN,2008/10/1,156.2
CN,2009/1/1,160.5
CN,2009/4/1,160.3
CN,2009/7/1,159.5
CN,2009/10/1,161.2
CN,2010/1/1,163.3
CN,2010/4/1,163.6
CN,2010/7/1,163.9
CN,2010/10/1,164.7
CN,2011/1/1,166.2
CN,2011/4/1,167.4
CN,2011/7/1,171.1
CN,2011/10/1,172.2
CN,2012/1/1,174.4
CN,2012/4/1,175.4
CN,2012/7/1,175.6
CN,2012/10/1,173.9
CN,2013/1/1,173.4
CN,2013/4/1,172.5
CN,2013/7/1,171
CN,2013/10/1,170.3
CN,2014/1/1,171.2
CN,2014/4/1,169.8
CN,2014/7/1,170.2
CN,2014/10/1,170.5
CN,2015/1/1,175.6
CN,2015/4/1,175.5
CN,2015/7/1,177.1
CN,2015/10/1,175.8
CN,2016/1/1,175.3
CN,2016/4/1,175.8
CN,2016/7/1,175.8
CN,2016/10/1,174.5
CN,2017/1/1,174.6
CN,2017/4/1,174.8
CN,2017/7/1,176.1
CN,2017/10/1,175
CN,2018/1/1,177
CN,2018/4/1,175.6
CN,2018/7/1,175.1
CN,2018/10/1,175.4
CN,2019/1/1,178.2
CN,2019/4/1,178
CN,2019/7/1,179.9
CN,2019/10/1,181.2
CN,2020/1/1,183.9
CN,2020/4/1,185.4
CN,2020/7/1,184.7
CN,2020/10/1,187.4
CN,2021/1/1,189.1
