Entity,Year,Refugees by destination
Algeria,1970,500
Algeria,1975,21000
Algeria,1976,39580
Algeria,1977,52000
Algeria,1978,52000
Algeria,1979,52000
Algeria,1980,52000
Algeria,1981,167000
Algeria,1982,167000
Algeria,1983,167000
Algeria,1984,167000
Algeria,1985,174160
Algeria,1986,167220
Algeria,1987,167000
Algeria,1988,170000
Algeria,1989,169103
Algeria,1990,169110
Algeria,1991,169124
Algeria,1992,219314
Algeria,1993,219067
Algeria,1994,219073
Algeria,1995,192489
Algeria,1996,190267
Algeria,1997,170736
Algeria,1998,165226
Algeria,1999,165249
Algeria,2000,169654
Algeria,2001,169417
Algeria,2002,169233
Algeria,2003,169032
Algeria,2004,169053
Algeria,2005,94104
Algeria,2006,94181
Algeria,2007,94137
Algeria,2008,94094
Algeria,2009,94136
Algeria,2010,94141
Algeria,2011,94145
Algeria,2012,94130
Algeria,2013,94142
Algeria,2014,94119
Algeria,2015,94176
Algeria,2016,94220
Algeria,2017,94248
Algeria,2018,94341
Algeria,2019,98599
Algeria,2020,97651
Algeria,2021,97890
Algeria,2022,99107
Algeria,2023,98590
Yemen,1977,50
Yemen,1978,15050
Yemen,1979,15360
Yemen,1980,15550
Yemen,1981,1030
Yemen,1982,1400
Yemen,1983,3680
Yemen,1984,4280
Yemen,1985,5000
Yemen,1986,105000
Yemen,1987,73000
Yemen,1988,78157
Yemen,1989,80130
Yemen,1990,2938
Yemen,1991,29977
Yemen,1992,59680
Yemen,1993,54450
Yemen,1994,48305
Yemen,1995,53453
Yemen,1996,53546
Yemen,1997,40965
Yemen,1998,61380
Yemen,1999,60477
Yemen,2000,60543
Yemen,2001,69462
Yemen,2002,82795
Yemen,2003,61876
Yemen,2004,66379
Yemen,2005,81932
Yemen,2006,95791
Yemen,2007,117358
Yemen,2008,140166
Yemen,2009,170850
Yemen,2010,190088
Yemen,2011,214736
Yemen,2012,237176
Yemen,2013,241281
Yemen,2014,257637
Yemen,2015,267163
Yemen,2016,269778
Yemen,2017,270913
Yemen,2018,264359
Yemen,2019,268503
Yemen,2020,166906
Yemen,2021,89467
Yemen,2022,77458
Yemen,2023,55568
