Entity,Year,Sex ratio - Sex: all - Age: 0 - Variant: estimates
Hong Kong,1950,109.988365
Hong Kong,1951,109.45928
Hong Kong,1952,108.74718
Hong Kong,1953,107.880394
Hong Kong,1954,107.13568
Hong Kong,1955,106.39606
Hong Kong,1956,106.00798
Hong Kong,1957,105.774
Hong Kong,1958,105.54201
Hong Kong,1959,105.486206
Hong Kong,1960,103.95496
Hong Kong,1961,104.50329
Hong Kong,1962,105.64119
Hong Kong,1963,103.61693
Hong Kong,1964,103.5547
Hong Kong,1965,105.455986
Hong Kong,1966,106.03071
Hong Kong,1967,106.74933
Hong Kong,1968,106.80205
Hong Kong,1969,105.082214
Hong Kong,1970,104.48317
Hong Kong,1971,105.161865
Hong Kong,1972,106.07283
Hong Kong,1973,106.158295
Hong Kong,1974,106.19225
Hong Kong,1975,106.987526
Hong Kong,1976,107.80436
Hong Kong,1977,107.64143
Hong Kong,1978,107.48012
Hong Kong,1979,107.9122
Hong Kong,1980,108.724884
Hong Kong,1981,108.12959
Hong Kong,1982,106.551414
Hong Kong,1983,106.073555
Hong Kong,1984,108.31564
Hong Kong,1985,109.5438
Hong Kong,1986,107.522545
Hong Kong,1987,106.73453
Hong Kong,1988,107.52461
Hong Kong,1989,108.18589
Hong Kong,1990,108.331276
Hong Kong,1991,107.80455
Hong Kong,1992,106.67199
Hong Kong,1993,107.67064
Hong Kong,1994,108.464676
Hong Kong,1995,109.97066
Hong Kong,1996,110.47389
Hong Kong,1997,108.6046
Hong Kong,1998,108.59337
Hong Kong,1999,108.80916
Hong Kong,2000,108.41474
Hong Kong,2001,108.08938
Hong Kong,2002,107.8298
Hong Kong,2003,106.64118
Hong Kong,2004,106.318054
Hong Kong,2005,108.41776
Hong Kong,2006,111.29272
Hong Kong,2007,111.374626
Hong Kong,2008,110.88207
Hong Kong,2009,110.86499
Hong Kong,2010,109.56142
Hong Kong,2011,109.610054
Hong Kong,2012,111.03784
Hong Kong,2013,109.450554
Hong Kong,2014,107.20953
Hong Kong,2015,107.06769
Hong Kong,2016,106.68099
Hong Kong,2017,106.340294
Hong Kong,2018,105.71772
Hong Kong,2019,105.05859
Hong Kong,2020,104.65179
Hong Kong,2021,105.9948
Hong Kong,2022,107.7058
Hong Kong,2023,107.70304
South Korea,1950,104.77272
South Korea,1951,104.32527
South Korea,1952,104.5428
South Korea,1953,104.73084
South Korea,1954,104.905914
South Korea,1955,105.050835
South Korea,1956,105.17349
South Korea,1957,105.26713
South Korea,1958,105.30843
South Korea,1959,105.31147
South Korea,1960,105.35052
South Korea,1961,105.85332
South Korea,1962,106.67021
South Korea,1963,107.39778
South Korea,1964,107.71159
South Korea,1965,107.91668
South Korea,1966,106.74078
South Korea,1967,105.38415
South Korea,1968,105.430466
South Korea,1969,105.42557
South Korea,1970,105.3869
South Korea,1971,106.18739
South Korea,1972,107.12674
South Korea,1973,107.417534
South Korea,1974,109.07606
South Korea,1975,110.032486
South Korea,1976,107.95252
South Korea,1977,107.042946
South Korea,1978,107.60122
South Korea,1979,108.16479
South Korea,1980,108.93636
South Korea,1981,108.45855
South Korea,1982,107.93905
South Korea,1983,108.61775
South Korea,1984,109.53201
South Korea,1985,110.89528
South Korea,1986,111.66725
South Korea,1987,111.296394
South Korea,1988,112.239685
South Korea,1989,113.80543
South Korea,1990,114.57563
South Korea,1991,114.180824
South Korea,1992,114.10815
South Korea,1993,115.78167
South Korea,1994,117.07072
South Korea,1995,116.85002
South Korea,1996,114.18403
South Korea,1997,111.29565
South Korea,1998,111.18679
South Korea,1999,112.21027
South Korea,2000,113.214516
South Korea,2001,112.030365
South Korea,2002,110.433426
South Korea,2003,110.65917
South Korea,2004,110.44957
South Korea,2005,110.27314
South Korea,2006,109.00117
South Korea,2007,108.04552
South Korea,2008,108.32657
South Korea,2009,108.95148
South Korea,2010,109.2317
South Korea,2011,107.52764
South Korea,2012,105.70499
South Korea,2013,105.40939
South Korea,2014,105.1407
South Korea,2015,105.26265
South Korea,2016,105.25771
South Korea,2017,105.454346
South Korea,2018,105.71558
South Korea,2019,105.56988
South Korea,2020,105.64298
South Korea,2021,105.68664
South Korea,2022,105.71793
South Korea,2023,105.75381
Vietnam,1950,105.151276
Vietnam,1951,105.17608
Vietnam,1952,105.20922
Vietnam,1953,105.22392
Vietnam,1954,105.21352
Vietnam,1955,105.19061
Vietnam,1956,105.184906
Vietnam,1957,105.16911
Vietnam,1958,105.15655
Vietnam,1959,105.16833
Vietnam,1960,105.180374
Vietnam,1961,105.182686
Vietnam,1962,105.18604
Vietnam,1963,105.20413
Vietnam,1964,105.22516
Vietnam,1965,105.225975
Vietnam,1966,105.21305
Vietnam,1967,105.19922
Vietnam,1968,105.19537
Vietnam,1969,105.19915
Vietnam,1970,105.20343
Vietnam,1971,105.20353
Vietnam,1972,105.20592
Vietnam,1973,105.20057
Vietnam,1974,105.19679
Vietnam,1975,105.18869
Vietnam,1976,105.18998
Vietnam,1977,105.189445
Vietnam,1978,105.20508
Vietnam,1979,105.254814
Vietnam,1980,105.276505
Vietnam,1981,105.2888
Vietnam,1982,105.31097
Vietnam,1983,105.33891
Vietnam,1984,105.36205
Vietnam,1985,105.386055
Vietnam,1986,105.371086
Vietnam,1987,105.31922
Vietnam,1988,105.26064
Vietnam,1989,105.2434
Vietnam,1990,105.27066
Vietnam,1991,105.288216
Vietnam,1992,105.33102
Vietnam,1993,105.36481
Vietnam,1994,105.390854
Vietnam,1995,105.44181
Vietnam,1996,105.494
Vietnam,1997,105.56503
Vietnam,1998,105.670265
Vietnam,1999,105.856544
Vietnam,2000,106.27691
Vietnam,2001,107.41929
Vietnam,2002,107.27765
Vietnam,2003,104.79692
Vietnam,2004,105.314186
Vietnam,2005,106.34944
Vietnam,2006,107.177055
Vietnam,2007,109.60157
Vietnam,2008,109.644875
Vietnam,2009,109.48177
Vietnam,2010,110.20697
Vietnam,2011,110.91377
Vietnam,2012,111.46754
Vietnam,2013,112.41825
Vietnam,2014,112.34858
Vietnam,2015,111.88309
Vietnam,2016,111.03039
Vietnam,2017,108.9138
Vietnam,2018,107.41425
Vietnam,2019,108.865395
Vietnam,2020,111.22154
Vietnam,2021,111.480286
Vietnam,2022,111.02137
Vietnam,2023,110.47855
