Entity,Year,"International Historical Statistics (Births per 1,000) (Brian Mitchell (2013))"
China,1949,36
China,1950,37
China,1951,37.8
China,1952,37
China,1953,37
China,1954,38
China,1955,32.6
China,1956,31.9
China,1957,34
China,1958,29.2
China,1959,24.8
China,1960,20.9
China,1961,18
China,1962,37
China,1963,43.4
China,1964,39.1
China,1965,37.9
China,1966,35
China,1967,34
China,1968,35.6
China,1969,34.1
China,1970,33.4
China,1971,30.6
China,1972,29.8
China,1973,27.9
China,1974,24.8
China,1975,23
China,1976,19.9
China,1977,18.9
China,1978,18.2
China,1979,17.8
China,1980,18.2
China,1981,20.9
China,1982,21.1
China,1983,18.6
China,1984,17.5
China,1985,17.8
China,1986,20.8
China,1987,20.8
China,1988,20.8
China,1989,21.5
China,1990,21.1
China,1991,19.7
China,1992,18.2
China,1993,18.1
China,1994,11.9
China,1995,11.2
China,1996,10.2
China,1997,9.3
China,1998,7.9
China,1999,15.2
China,2000,14
China,2001,13.4
China,2002,12.9
China,2003,12.4
China,2004,12.3
China,2005,12.4
China,2006,12.05039255
China,2007,12.06396779
China,2008,12.10825138
China,2009,12.09973478
Portugal,1886,31.9
Portugal,1887,33.7
Portugal,1888,33.1
Portugal,1889,33.7
Portugal,1890,32.6
Portugal,1891,32
Portugal,1892,31.2
Portugal,1893,31.9
Portugal,1894,29.7
Portugal,1895,30
Portugal,1896,30
Portugal,1897,30.4
Portugal,1898,30.2
Portugal,1899,29.9
Portugal,1900,30.5
Portugal,1901,31.3
Portugal,1902,32
Portugal,1903,33
Portugal,1904,31.6
Portugal,1905,31.8
Portugal,1906,32.1
Portugal,1907,30.7
Portugal,1908,30.3
Portugal,1909,29.9
Portugal,1910,31.7
Portugal,1911,38.6
Portugal,1912,34.9
Portugal,1913,32.5
Portugal,1914,31.5
Portugal,1915,32.6
Portugal,1916,32.1
Portugal,1917,31.4
Portugal,1918,29.7
Portugal,1919,27.6
Portugal,1920,33.6
Portugal,1921,32.4
Portugal,1922,33.1
Portugal,1923,33.2
Portugal,1924,32.8
Portugal,1925,32.6
Portugal,1926,33.5
Portugal,1927,31
Portugal,1928,31.9
Portugal,1929,29.9
Portugal,1930,29.7
Portugal,1931,29.7
Portugal,1932,29.9
Portugal,1933,28.9
Portugal,1934,28.4
Portugal,1935,28.2
Portugal,1936,28.1
Portugal,1937,26.7
Portugal,1938,26.6
Portugal,1939,26.2
Portugal,1940,24.3
Portugal,1941,23.8
Portugal,1942,24
Portugal,1943,25.1
Portugal,1944,25.3
Portugal,1945,26
Portugal,1946,25.4
Portugal,1947,24.5
Portugal,1948,26.8
Portugal,1949,25.5
Portugal,1950,24.3
Portugal,1951,24.6
Portugal,1952,24.9
Portugal,1953,23.7
Portugal,1954,23.1
Portugal,1955,24.4
Portugal,1956,23.4
Portugal,1957,24.4
Portugal,1958,24.4
Portugal,1959,24.3
Portugal,1960,24.2
Portugal,1961,24.5
Portugal,1962,24.5
Portugal,1963,23.5
Portugal,1964,23.8
Portugal,1965,22.9
Portugal,1966,22.2
Portugal,1967,21.5
Portugal,1968,20.6
Portugal,1969,20.9
Portugal,1970,20
Portugal,1971,20.2
Portugal,1972,19.5
Portugal,1973,19.2
Portugal,1974,18.9
Portugal,1975,19.1
Portugal,1976,19.3
Portugal,1977,18.6
Portugal,1978,17.1
Portugal,1979,16.3
Portugal,1980,15.8
Portugal,1981,15.1
Portugal,1982,15.2
Portugal,1983,14.4
Portugal,1984,14.2
Portugal,1985,12.8
Portugal,1986,12.4
Portugal,1987,12
Portugal,1988,11.9
Portugal,1989,12
Portugal,1990,11.8
Portugal,1991,11.8
Portugal,1992,11.7
Portugal,1993,11.5
Portugal,1994,11
Portugal,1995,10.8
Portugal,1996,11.1
Portugal,1997,11.4
Portugal,1998,11.4
Portugal,1999,11.4
Portugal,2000,11.6
Portugal,2001,11
Portugal,2002,11
Portugal,2003,10.8
Portugal,2004,10.4
Portugal,2005,10.4
Portugal,2006,9.962734108
Portugal,2007,9.661459598
Portugal,2008,9.846539098
Portugal,2009,9.357269984
Portugal,2010,9.524932253
Sweden,1813,29.7
Sweden,1814,31.2
Sweden,1815,34.8
Sweden,1816,35.3
Sweden,1817,33.4
Sweden,1818,33.8
Sweden,1819,33
Sweden,1820,33
Sweden,1821,35.4
Sweden,1822,35.9
Sweden,1823,36.8
Sweden,1824,34.6
Sweden,1825,36.5
Sweden,1826,34.8
Sweden,1827,31.3
Sweden,1828,33.6
Sweden,1829,34.9
Sweden,1830,32.9
Sweden,1831,30.5
Sweden,1832,30.9
Sweden,1833,34.1
Sweden,1834,33.7
Sweden,1835,32.7
Sweden,1836,31.8
Sweden,1837,30.8
Sweden,1838,29.4
Sweden,1839,29.5
Sweden,1840,31.4
Sweden,1841,30.3
Sweden,1842,31.7
Sweden,1843,30.8
Sweden,1844,32.2
Sweden,1845,31.5
Sweden,1846,29.9
Sweden,1847,29.6
Sweden,1848,30.3
Sweden,1849,32.8
Sweden,1850,31.9
Sweden,1851,31.7
Sweden,1852,30.7
Sweden,1853,31.4
Sweden,1854,33.5
Sweden,1855,31.8
Sweden,1856,31.5
Sweden,1857,32.4
Sweden,1858,34.8
Sweden,1859,35
Sweden,1860,34.8
Sweden,1861,32.6
Sweden,1862,33.4
Sweden,1863,33.6
Sweden,1864,33.6
Sweden,1865,32.8
Sweden,1866,33.1
Sweden,1867,30.8
Sweden,1868,27.5
Sweden,1869,28.3
Sweden,1870,28.8
Sweden,1871,30.4
Sweden,1872,30
Sweden,1873,30.8
Sweden,1874,30.9
Sweden,1875,31.2
Sweden,1876,30.8
Sweden,1877,31.1
Sweden,1878,29.8
Sweden,1879,30.5
Sweden,1880,29.4
Sweden,1881,29.1
Sweden,1882,29.4
Sweden,1883,28.9
Sweden,1884,30
Sweden,1885,29.4
Sweden,1886,29.8
Sweden,1887,29.7
Sweden,1888,28.8
Sweden,1889,27.7
Sweden,1890,28
Sweden,1891,28.3
Sweden,1892,27
Sweden,1893,27.4
Sweden,1894,27.1
Sweden,1895,27.5
Sweden,1896,27.2
Sweden,1897,26.7
Sweden,1898,27.1
Sweden,1899,26.4
Sweden,1900,27
Sweden,1901,27
Sweden,1902,26.5
Sweden,1903,25.7
Sweden,1904,25.8
Sweden,1905,25.7
Sweden,1906,25.7
Sweden,1907,25.5
Sweden,1908,25.7
Sweden,1909,25.6
Sweden,1910,24.7
Sweden,1911,24
Sweden,1912,23.8
Sweden,1913,23.2
Sweden,1914,22.9
Sweden,1915,21.6
Sweden,1916,21.2
Sweden,1917,20.9
Sweden,1918,20.3
Sweden,1919,19.8
Sweden,1920,23.6
Sweden,1921,21.5
Sweden,1922,19.6
Sweden,1923,18.9
Sweden,1924,18.1
Sweden,1925,17.6
Sweden,1926,16.8
Sweden,1927,16.1
Sweden,1928,16.1
Sweden,1929,15.2
Sweden,1930,15.4
Sweden,1931,14.8
Sweden,1932,14.5
Sweden,1933,13.7
Sweden,1934,13.7
Sweden,1935,13.8
Sweden,1936,14.2
Sweden,1937,14.4
Sweden,1938,14.9
Sweden,1939,15.4
Sweden,1940,15.1
Sweden,1941,15.6
Sweden,1942,17.7
Sweden,1943,19.3
Sweden,1944,20.6
Sweden,1945,20.4
Sweden,1946,19.7
Sweden,1947,18.9
Sweden,1948,18.4
Sweden,1949,17.4
Sweden,1950,16.5
Sweden,1951,15.6
Sweden,1952,15.5
Sweden,1953,15.4
Sweden,1954,14.6
Sweden,1955,14.8
Sweden,1956,14.8
Sweden,1957,14.6
Sweden,1958,14.2
Sweden,1959,14.1
Sweden,1960,13.7
Sweden,1961,13.9
Sweden,1962,14.2
Sweden,1963,14.9
Sweden,1964,16
Sweden,1965,15.9
Sweden,1966,15.8
Sweden,1967,15.4
Sweden,1968,14.3
Sweden,1969,13.5
Sweden,1970,13.7
Sweden,1971,14.1
Sweden,1972,13.8
Sweden,1973,13.5
Sweden,1974,13.5
Sweden,1975,12.6
Sweden,1976,12
Sweden,1977,11.6
Sweden,1978,11.3
Sweden,1979,11.6
Sweden,1980,11.7
Sweden,1981,11.3
Sweden,1982,11.1
Sweden,1983,11
Sweden,1984,11.3
Sweden,1985,11.8
Sweden,1986,12.2
Sweden,1987,12.5
Sweden,1988,13.3
Sweden,1989,13.7
Sweden,1990,14.5
Sweden,1991,14.4
Sweden,1992,14.2
Sweden,1993,13.5
Sweden,1994,12.6
Sweden,1995,11.7
Sweden,1996,10.8
Sweden,1997,10.2
Sweden,1998,10
Sweden,1999,10
Sweden,2000,10.2
Sweden,2001,10.3
Sweden,2002,10.7
Sweden,2003,11.1
Sweden,2004,11.2
Sweden,2005,11.2
Sweden,2006,11.66377861
Sweden,2007,11.74244859
Sweden,2008,11.85523899
Sweden,2009,12.02353344
Sweden,2010,12.33092838
