Entity,Year,Average effective age of retirement
Australia,1994,59.2
Australia,1995,59.4
Australia,1996,59
Australia,1997,59
Australia,1998,59
Australia,1999,59.5
Australia,2000,59.6
Australia,2001,60.1
Australia,2002,60.5
Australia,2003,61
Australia,2004,60.6
Australia,2005,61.3
Australia,2006,62.1
Australia,2007,61.8
Australia,2008,61.4
Australia,2009,62.5
Australia,2010,62.7
Australia,2011,62.7
Australia,2012,62.7
Australia,2013,62.9
Australia,2014,62.7
Australia,2015,63.2
Australia,2016,63.6
Australia,2017,64.19999695
Australia,2018,64.30000305
Latvia,1994,60.3
Latvia,1995,59.9
Latvia,1996,59.6
Latvia,1997,58.5
Latvia,1998,58.90000153
Latvia,1999,58.6
Latvia,2000,59.6
Latvia,2001,59.5
Latvia,2002,63
Latvia,2003,60.3
Latvia,2004,59.9
Latvia,2005,59.5
Latvia,2006,60.8
Latvia,2007,62.4
Latvia,2008,62.4
Latvia,2009,63.3
Latvia,2010,63.6
Latvia,2011,64.4
Latvia,2012,64.8
Latvia,2013,63.6
Latvia,2014,62.7
Latvia,2015,61
Latvia,2016,61.2
Latvia,2017,61.90000153
Latvia,2018,64.69999695
