Entity,Year,Government expenditure (% of GDP)
Chile,1880,8.42
Chile,1881,9.14
Chile,1882,11.1
Chile,1883,12.3
Chile,1884,11.53
Chile,1885,9.38
Chile,1886,11.96
Chile,1887,12.32
Chile,1888,10.1
Chile,1889,12.92
Chile,1890,14.21
Chile,1891,13.72
Chile,1892,10.6
Chile,1893,7.81
Chile,1894,8.36
Chile,1895,11.87
Chile,1896,15.54
Chile,1897,11.22
Chile,1898,12.04
Chile,1899,11.3
Chile,1900,11.63
Chile,1901,13.38
Chile,1902,12.71
Chile,1903,11.74
Chile,1904,12.61
Chile,1905,12.05
Chile,1906,14.52
Chile,1907,14.41
Chile,1908,11.53
Chile,1909,11.91
Chile,1910,12.81
Chile,1911,13.23
Chile,1912,14.86
Chile,1913,12.32
Chile,1914,11.89
Chile,1915,10.05
Chile,1916,7.91
Chile,1917,6.84
Chile,1918,6.79
Chile,1919,7.32
Chile,1920,8.76
Chile,1921,11
Chile,1922,10.76
Chile,1923,9.54
Chile,1924,9.65
Chile,1925,10.68
Chile,1926,14.04
Chile,1927,13.21
Chile,1928,11.76
Chile,1929,11
Chile,1930,13.89
Chile,1931,16.55
Chile,1932,9.65
Chile,1933,11.77
Chile,1934,10.44
Chile,1935,12.99
Chile,1936,12.58
Chile,1937,11.49
Chile,1938,13.22
Chile,1939,13.75
Chile,1940,12.43
Chile,1941,14.13
Chile,1942,12.7
Chile,1943,15.89
Chile,1944,14.59
Chile,1945,14.86
Chile,1946,13.7
Chile,1947,16.46
Chile,1948,15.18
Chile,1949,13.79
Chile,1950,14.93
Chile,1951,15.55
Chile,1952,18.12
Chile,1953,17.58
Chile,1954,15.72
Chile,1955,17.11
Chile,1956,16.55
Chile,1957,16.79
Chile,1958,16.99
Chile,1959,20.85
Chile,1960,19.73
Chile,1961,19.51
Chile,1962,21.25
Chile,1963,18.93
Chile,1964,17.76
Chile,1965,20.49
Chile,1966,20.52
Chile,1967,19.14
Chile,1968,19.31
Chile,1969,18.69
Chile,1970,21.09
Chile,1971,27.22
Chile,1972,34.97
Chile,1973,30.76
Chile,1974,32.35
Chile,1975,33.58
Chile,1976,30.03
Chile,1977,30.01
Chile,1978,29.38
Chile,1979,24.75
Chile,1980,23.84
Chile,1981,26.38
Chile,1982,30.12
Chile,1983,29.24
Chile,1984,29.99
Chile,1985,28.45
Chile,1986,26.65
Chile,1987,22.92
Chile,1988,21.34
Chile,1989,19.76
Chile,1990,18.95
