symbol,observation_date,inflation
Consumer Price Index,2017/1/1,2.5
Consumer Price Index,2017/2/1,2.8
Consumer Price Index,2017/3/1,2.4
Consumer Price Index,2017/4/1,2.2
Consumer Price Index,2017/5/1,1.9
Consumer Price Index,2017/6/1,1.6
Consumer Price Index,2017/7/1,1.7
Consumer Price Index,2017/8/1,1.9
Consumer Price Index,2017/9/1,2.2
Consumer Price Index,2017/10/1,2
Consumer Price Index,2017/11/1,2.2
Consumer Price Index,2017/12/1,2.1
Consumer Price Index,2018/1/1,2.2
Consumer Price Index,2018/2/1,2.3
Consumer Price Index,2018/3/1,2.3
Consumer Price Index,2018/4/1,2.5
Consumer Price Index,2018/5/1,2.8
Consumer Price Index,2018/6/1,2.8
Consumer Price Index,2018/7/1,2.9
Consumer Price Index,2018/8/1,2.6
Consumer Price Index,2018/9/1,2.3
Consumer Price Index,2018/10/1,2.5
Consumer Price Index,2018/11/1,2.1
Consumer Price Index,2018/12/1,2
Consumer Price Index,2019/1/1,1.5
Consumer Price Index,2019/2/1,1.5
Consumer Price Index,2019/3/1,1.9
Consumer Price Index,2019/4/1,2
Consumer Price Index,2019/5/1,1.8
Consumer Price Index,2019/6/1,1.7
Consumer Price Index,2019/7/1,1.8
Consumer Price Index,2019/8/1,1.7
Consumer Price Index,2019/9/1,1.7
Consumer Price Index,2019/10/1,1.7
Consumer Price Index,2019/11/1,2.1
Consumer Price Index,2019/12/1,2.3
Consumer Price Index,2020/1/1,2.5
Consumer Price Index,2020/2/1,2.3
Consumer Price Index,2020/3/1,1.5
Consumer Price Index,2020/4/1,0.3
Consumer Price Index,2020/5/1,0.2
Consumer Price Index,2020/6/1,0.7
Consumer Price Index,2020/7/1,1
Consumer Price Index,2020/8/1,1.3
Consumer Price Index,2020/9/1,1.4
Consumer Price Index,2020/10/1,1.2
Consumer Price Index,2020/11/1,1.2
Consumer Price Index,2020/12/1,1.3
Consumer Price Index,2021/1/1,1.4
Consumer Price Index,2021/2/1,1.7
Inflation Expectation,2017/1/1,2.6
Inflation Expectation,2017/2/1,2.7
Inflation Expectation,2017/3/1,2.5
Inflation Expectation,2017/4/1,2.5
Inflation Expectation,2017/5/1,2.6
Inflation Expectation,2017/6/1,2.6
Inflation Expectation,2017/7/1,2.6
Inflation Expectation,2017/8/1,2.6
Inflation Expectation,2017/9/1,2.7
Inflation Expectation,2017/10/1,2.4
Inflation Expectation,2017/11/1,2.5
Inflation Expectation,2017/12/1,2.7
Inflation Expectation,2018/1/1,2.7
Inflation Expectation,2018/2/1,2.7
Inflation Expectation,2018/3/1,2.8
Inflation Expectation,2018/4/1,2.7
Inflation Expectation,2018/5/1,2.8
Inflation Expectation,2018/6/1,3
Inflation Expectation,2018/7/1,2.9
Inflation Expectation,2018/8/1,3
Inflation Expectation,2018/9/1,2.7
Inflation Expectation,2018/10/1,2.9
Inflation Expectation,2018/11/1,2.8
Inflation Expectation,2018/12/1,2.7
Inflation Expectation,2019/1/1,2.7
Inflation Expectation,2019/2/1,2.6
Inflation Expectation,2019/3/1,2.5
Inflation Expectation,2019/4/1,2.5
Inflation Expectation,2019/5/1,2.9
Inflation Expectation,2019/6/1,2.7
Inflation Expectation,2019/7/1,2.6
Inflation Expectation,2019/8/1,2.7
Inflation Expectation,2019/9/1,2.8
Inflation Expectation,2019/10/1,2.5
Inflation Expectation,2019/11/1,2.5
Inflation Expectation,2019/12/1,2.3
Inflation Expectation,2020/1/1,2.5
Inflation Expectation,2020/2/1,2.4
Inflation Expectation,2020/3/1,2.2
Inflation Expectation,2020/4/1,2.1
Inflation Expectation,2020/5/1,3.2
Inflation Expectation,2020/6/1,3
Inflation Expectation,2020/7/1,3
Inflation Expectation,2020/8/1,3.1
Inflation Expectation,2020/9/1,2.6
Inflation Expectation,2020/10/1,2.6
Inflation Expectation,2020/11/1,2.8
Inflation Expectation,2020/12/1,2.5
Inflation Expectation,2021/1/1,3
Inflation Expectation,2021/2/1,3.3
