Entity,Year,"Average effective age of retirement, women (OECD)"
Argentina,1982,70.9
Argentina,1983,67.3
Argentina,1984,67.9
Argentina,1985,68
Argentina,1986,68.4
Argentina,1987,68.8
Argentina,1988,70.6
Argentina,1989,70.7
Argentina,1990,68.2
Argentina,1991,68.7
Argentina,1992,69.6
Argentina,1993,69.2
Argentina,1994,68.9
Argentina,1995,67.5
Argentina,1996,66.9
Argentina,1997,67.90000153
Argentina,1998,69
Argentina,1999,70.3
Argentina,2000,71.6
Argentina,2001,69.7
Argentina,2002,68.3
Argentina,2003,67.3
Argentina,2004,67
Argentina,2005,65.9
Argentina,2006,66
Argentina,2007,63.8
Argentina,2008,63.4
Argentina,2009,64
Argentina,2010,64.8
Argentina,2011,65
Argentina,2012,65.9
Argentina,2013,64.8
Argentina,2014,64.1
Argentina,2015,63.9
Argentina,2016,63.2
Argentina,2017,63.70000076
Argentina,2018,64.30000305
Brazil,1982,72.6
Brazil,1983,72.3
Brazil,1984,72
Brazil,1985,71.7
Brazil,1986,70.1
Brazil,1987,71.5
Brazil,1988,70.1
Brazil,1989,69.4
Brazil,1990,68.6
Brazil,1991,67.4
Brazil,1992,65
Brazil,1993,63.6
Brazil,1994,65.1
Brazil,1995,65.2
Brazil,1996,63.4
Brazil,1997,63.90000153
Brazil,1998,63.29999924
Brazil,1999,63.9
Brazil,2000,62.8
Brazil,2001,63.9
Brazil,2002,63.8
Brazil,2003,65.1
Brazil,2004,63.8
Brazil,2005,64.7
Brazil,2006,65.6
Brazil,2007,63.6
Brazil,2008,63.2
Brazil,2009,63.5
Brazil,2010,63
Brazil,2011,62.3
Brazil,2012,62.7
Brazil,2013,63
Brazil,2014,62.4
Brazil,2015,62.6
Brazil,2016,63.5
Brazil,2017,63.20000076
Brazil,2018,63.29999924
Germany,1982,60.6
Germany,1983,60.4
Germany,1984,60.5
Germany,1985,60.2
Germany,1986,60
Germany,1987,60.4
Germany,1988,60.9
Germany,1989,60.7
Germany,1990,60.8
Germany,1991,60.7
Germany,1992,60.7
Germany,1993,60.3
Germany,1994,60
Germany,1995,59.2
Germany,1996,59
Germany,1997,59.59999847
Germany,1998,59.70000076
Germany,1999,60
Germany,2000,60.3
Germany,2001,60.2
Germany,2002,60.2
Germany,2003,60.3
Germany,2004,60.6
Germany,2005,60.7
Germany,2006,60.8
Germany,2007,60.8
Germany,2008,60.3
Germany,2009,60.5
Germany,2010,61.2
Germany,2011,61.5
Germany,2012,61.7
Germany,2013,62.2
Germany,2014,62.7
Germany,2015,62.7
Germany,2016,63.2
Germany,2017,63.40000153
Germany,2018,63.59999847
