symbol,observation_date,value
 PAYEMS,1990/1/1,98.7
 PAYEMS,1990/2/1,98.3
 PAYEMS,1990/3/1,98.1
 PAYEMS,1990/4/1,98.5
 PAYEMS,1990/5/1,98.3
 PAYEMS,1990/6/1,98.6
 PAYEMS,1990/7/1,99.1
 PAYEMS,1990/8/1,98.8
 PAYEMS,1990/9/1,99.3
 PAYEMS,1990/10/1,99.6
 PAYEMS,1990/11/1,99.7
 PAYEMS,1990/12/1,99.9
 PAYEMS,1991/1/1,100.3
 PAYEMS,1991/2/1,100.2
 PAYEMS,1991/3/1,100
 PAYEMS,1991/4/1,100.3
 PAYEMS,1991/5/1,100.1
 PAYEMS,1991/6/1,99.9
 PAYEMS,1991/7/1,99.9
 PAYEMS,1991/8/1,99.7
 PAYEMS,1991/9/1,99.6
 PAYEMS,1991/10/1,99.6
 PAYEMS,1991/11/1,99.5
 PAYEMS,1991/12/1,99.3
 PAYEMS,1992/1/1,98.8
 PAYEMS,1992/2/1,98.4
 PAYEMS,1992/3/1,98.5
 PAYEMS,1992/4/1,98.2
 PAYEMS,1992/5/1,97.9
 PAYEMS,1992/6/1,97.7
 PAYEMS,1992/7/1,97.6
 PAYEMS,1992/8/1,97.4
 PAYEMS,1992/9/1,97.3
 PAYEMS,1992/10/1,97
 PAYEMS,1992/11/1,96.8
 PAYEMS,1992/12/1,96.3
 PAYEMS,1993/1/1,97
 PAYEMS,1993/2/1,96.6
 PAYEMS,1993/3/1,96.4
 PAYEMS,1993/4/1,96.1
 PAYEMS,1993/5/1,96
 PAYEMS,1993/6/1,95.8
 PAYEMS,1993/7/1,95.4
 PAYEMS,1993/8/1,95.1
 PAYEMS,1993/9/1,94.9
 PAYEMS,1993/10/1,94.7
 PAYEMS,1993/11/1,94.4
 PAYEMS,1993/12/1,94.3
 PAYEMS,1994/1/1,93.8
 PAYEMS,1994/2/1,93.6
 PAYEMS,1994/3/1,93.4
 PAYEMS,1994/4/1,93.1
 PAYEMS,1994/5/1,92.8
 PAYEMS,1994/6/1,92.5
 PAYEMS,1994/7/1,92.1
 PAYEMS,1994/8/1,92
 PAYEMS,1994/9/1,91.7
 PAYEMS,1994/10/1,91.8
 PAYEMS,1994/11/1,91.7
 PAYEMS,1994/12/1,91.7
 PAYEMS,1995/1/1,91.7
 PAYEMS,1995/2/1,91.9
 PAYEMS,1995/3/1,91.7
 PAYEMS,1995/4/1,91.6
 PAYEMS,1995/5/1,91.7
 PAYEMS,1995/6/1,91.8
 PAYEMS,1995/7/1,92
 PAYEMS,1995/8/1,92.2
 PAYEMS,1995/9/1,92.2
 PAYEMS,1995/10/1,91.8
 PAYEMS,1995/11/1,91.9
 PAYEMS,1995/12/1,92.1
 PAYEMS,1996/1/1,92.7
 PAYEMS,1996/2/1,92.5
 PAYEMS,1996/3/1,92.5
 PAYEMS,1996/4/1,92.3
 PAYEMS,1996/5/1,92.3
 PAYEMS,1996/6/1,92.4
 PAYEMS,1996/7/1,92.5
 PAYEMS,1996/8/1,92.5
 PAYEMS,1996/9/1,92.6
 PAYEMS,1996/10/1,92.6
 PAYEMS,1996/11/1,92.8
 PAYEMS,1996/12/1,92.8
 PAYEMS,1997/1/1,93
 PAYEMS,1997/2/1,93.2
 PAYEMS,1997/3/1,93.3
 PAYEMS,1997/4/1,93.6
 PAYEMS,1997/5/1,93.6
 PAYEMS,1997/6/1,93.5
 PAYEMS,1997/7/1,93.4
 PAYEMS,1997/8/1,93.4
 PAYEMS,1997/9/1,93.7
 PAYEMS,1997/10/1,93.5
 PAYEMS,1997/11/1,93.4
 PAYEMS,1997/12/1,93.7
 PAYEMS,1998/1/1,93.6
 PAYEMS,1998/2/1,93.4
 PAYEMS,1998/3/1,93.4
 PAYEMS,1998/4/1,93.7
 PAYEMS,1998/5/1,93.7
 PAYEMS,1998/6/1,93.8
 PAYEMS,1998/7/1,94
 PAYEMS,1998/8/1,94
 PAYEMS,1998/9/1,94.2
 PAYEMS,1998/10/1,94.2
 PAYEMS,1998/11/1,94.3
 PAYEMS,1998/12/1,94.1
 PAYEMS,1999/1/1,94.2
 PAYEMS,1999/2/1,94.1
 PAYEMS,1999/3/1,94.2
 PAYEMS,1999/4/1,94.1
 PAYEMS,1999/5/1,94.2
 PAYEMS,1999/6/1,94.1
 PAYEMS,1999/7/1,94.3
 PAYEMS,1999/8/1,94.3
 PAYEMS,1999/9/1,94.3
 PAYEMS,1999/10/1,94.2
 PAYEMS,1999/11/1,94.2
 PAYEMS,1999/12/1,94.4
 PAYEMS,2000/1/1,94.4
 PAYEMS,2000/2/1,94.7
 PAYEMS,2000/3/1,94.7
 PAYEMS,2000/4/1,94.8
 PAYEMS,2000/5/1,95
 PAYEMS,2000/6/1,95.5
 PAYEMS,2000/7/1,95.6
 PAYEMS,2000/8/1,96
 PAYEMS,2000/9/1,96
 PAYEMS,2000/10/1,96.1
 PAYEMS,2000/11/1,96.2
 PAYEMS,2000/12/1,96.3
 PAYEMS,2001/1/1,96.2
 PAYEMS,2001/2/1,96.1
 PAYEMS,2001/3/1,96.3
 PAYEMS,2001/4/1,95.6
 PAYEMS,2001/5/1,95.1
 PAYEMS,2001/6/1,94.9
 PAYEMS,2001/7/1,94.4
 PAYEMS,2001/8/1,94.1
 PAYEMS,2001/9/1,93.8
 PAYEMS,2001/10/1,93.3
 PAYEMS,2001/11/1,92.8
 PAYEMS,2001/12/1,92.7
 PAYEMS,2002/1/1,92.6
 PAYEMS,2002/2/1,92.4
 PAYEMS,2002/3/1,92.5
 PAYEMS,2002/4/1,92.4
 PAYEMS,2002/5/1,92.3
 PAYEMS,2002/6/1,92.1
 PAYEMS,2002/7/1,91.9
 PAYEMS,2002/8/1,91.9
 PAYEMS,2002/9/1,91.9
 PAYEMS,2002/10/1,91.9
 PAYEMS,2002/11/1,91.8
 PAYEMS,2002/12/1,91.6
 PAYEMS,2003/1/1,91.3
 PAYEMS,2003/2/1,91.2
 PAYEMS,2003/3/1,91
 PAYEMS,2003/4/1,90.9
 PAYEMS,2003/5/1,90.6
 PAYEMS,2003/6/1,90.4
 PAYEMS,2003/7/1,90.1
 PAYEMS,2003/8/1,90.1
 PAYEMS,2003/9/1,89.9
 PAYEMS,2003/10/1,89.7
 PAYEMS,2003/11/1,89.6
 PAYEMS,2003/12/1,89.5
 PAYEMS,2004/1/1,89.6
 PAYEMS,2004/2/1,89.5
 PAYEMS,2004/3/1,89.3
 PAYEMS,2004/4/1,89.2
 PAYEMS,2004/5/1,89.1
 PAYEMS,2004/6/1,89
 PAYEMS,2004/7/1,89.1
 PAYEMS,2004/8/1,88.9
 PAYEMS,2004/9/1,88.6
 PAYEMS,2004/10/1,88.8
 PAYEMS,2004/11/1,88.8
 PAYEMS,2004/12/1,88.9
 PAYEMS,2005/1/1,88.8
 PAYEMS,2005/2/1,88.7
 PAYEMS,2005/3/1,88.6
 PAYEMS,2005/4/1,88.5
 PAYEMS,2005/5/1,88.3
 PAYEMS,2005/6/1,88.2
 PAYEMS,2005/7/1,88.2
 PAYEMS,2005/8/1,88.1
 PAYEMS,2005/9/1,88.2
 PAYEMS,2005/10/1,88.2
 PAYEMS,2005/11/1,88.2
 PAYEMS,2005/12/1,88.2
 PAYEMS,2006/1/1,88.3
 PAYEMS,2006/2/1,88.3
 PAYEMS,2006/3/1,88.2
 PAYEMS,2006/4/1,88.1
 PAYEMS,2006/5/1,88.4
 PAYEMS,2006/6/1,88.6
 PAYEMS,2006/7/1,88.4
 PAYEMS,2006/8/1,88.5
 PAYEMS,2006/9/1,88.4
 PAYEMS,2006/10/1,88.5
 PAYEMS,2006/11/1,88.4
 PAYEMS,2006/12/1,88.3
 PAYEMS,2007/1/1,88.3
 PAYEMS,2007/2/1,88.4
 PAYEMS,2007/3/1,88.6
 PAYEMS,2007/4/1,88.2
 PAYEMS,2007/5/1,88.3
 PAYEMS,2007/6/1,88.4
 PAYEMS,2007/7/1,88.7
 PAYEMS,2007/8/1,88.8
 PAYEMS,2007/9/1,88.8
 PAYEMS,2007/10/1,88.6
 PAYEMS,2007/11/1,88.7
 PAYEMS,2007/12/1,88.8
 PAYEMS,2008/1/1,88.7
 PAYEMS,2008/2/1,88.8
 PAYEMS,2008/3/1,88.8
 PAYEMS,2008/4/1,88.9
 PAYEMS,2008/5/1,88.9
 PAYEMS,2008/6/1,89
 PAYEMS,2008/7/1,89.2
 PAYEMS,2008/8/1,89.1
 PAYEMS,2008/9/1,89.1
 PAYEMS,2008/10/1,89.1
 PAYEMS,2008/11/1,89
 PAYEMS,2008/12/1,89.1
 PAYEMS,2009/1/1,88.9
 PAYEMS,2009/2/1,88.7
 PAYEMS,2009/3/1,88.7
 PAYEMS,2009/4/1,88.4
 PAYEMS,2009/5/1,88.2
