symbol,observation_date,value
AAABAA,2002/4/1,1.27
AAABAA,2002/5/1,1.34
AAABAA,2002/6/1,1.32
AAABAA,2002/7/1,1.37
AAABAA,2002/8/1,1.21
AAABAA,2002/9/1,1.25
AAABAA,2002/10/1,1.41
AAABAA,2002/11/1,1.31
AAABAA,2002/12/1,1.24
AAABAA,2003/1/1,1.18
AAABAA,2003/2/1,1.11
AAABAA,2003/3/1,1.06
AAABAA,2003/4/1,1.11
AAABAA,2003/5/1,1.16
AAABAA,2003/6/1,1.22
AAABAA,2003/7/1,1.13
AAABAA,2003/8/1,1.13
AAABAA,2003/9/1,1.07
AAABAA,2003/10/1,1.03
AAABAA,2003/11/1,1.01
AAABAA,2003/12/1,0.98
AAABAA,2004/1/1,0.9
AAABAA,2004/2/1,0.77
AAABAA,2004/3/1,0.78
AAABAA,2004/4/1,0.73
AAABAA,2004/5/1,0.71
AAABAA,2004/6/1,0.77
AAABAA,2004/7/1,0.8
AAABAA,2004/8/1,0.81
AAABAA,2004/9/1,0.81
AAABAA,2004/10/1,0.74
AAABAA,2004/11/1,0.68
AAABAA,2004/12/1,0.68
AAABAA,2005/1/1,0.66
AAABAA,2005/2/1,0.62
AAABAA,2005/3/1,0.66
AAABAA,2005/4/1,0.72
AAABAA,2005/5/1,0.86
AAABAA,2005/6/1,0.9
AAABAA,2005/7/1,0.89
AAABAA,2005/8/1,0.87
AAABAA,2005/9/1,0.9
AAABAA,2005/10/1,0.95
AAABAA,2005/11/1,0.97
AAABAA,2005/12/1,0.95
AAABAA,2006/1/1,0.95
AAABAA,2006/2/1,0.92
AAABAA,2006/3/1,0.88
AAABAA,2006/4/1,0.84
AAABAA,2006/5/1,0.8
AAABAA,2006/6/1,0.89
AAABAA,2006/7/1,0.91
AAABAA,2006/8/1,0.91
AAABAA,2006/9/1,0.92
AAABAA,2006/10/1,0.91
AAABAA,2006/11/1,0.87
AAABAA,2006/12/1,0.9
AAABAA,2007/1/1,0.94
AAABAA,2007/2/1,0.89
AAABAA,2007/3/1,0.97
AAABAA,2007/4/1,0.92
AAABAA,2007/5/1,0.92
AAABAA,2007/6/1,0.91
AAABAA,2007/7/1,0.92
AAABAA,2007/8/1,0.86
AAABAA,2007/9/1,0.85
AAABAA,2007/10/1,0.82
AAABAA,2007/11/1,0.96
AAABAA,2007/12/1,1.16
AAABAA,2008/1/1,1.21
AAABAA,2008/2/1,1.29
AAABAA,2008/3/1,1.38
AAABAA,2008/4/1,1.42
AAABAA,2008/5/1,1.36
AAABAA,2008/6/1,1.39
AAABAA,2008/7/1,1.49
AAABAA,2008/8/1,1.51
AAABAA,2008/9/1,1.66
AAABAA,2008/10/1,2.6
AAABAA,2008/11/1,3.09
AAABAA,2008/12/1,3.38
AAABAA,2009/1/1,3.09
AAABAA,2009/2/1,2.81
AAABAA,2009/3/1,2.92
AAABAA,2009/4/1,3
AAABAA,2009/5/1,2.52
AAABAA,2009/6/1,1.89
AAABAA,2009/7/1,1.68
AAABAA,2009/8/1,1.32
AAABAA,2009/9/1,1.18
AAABAA,2009/10/1,1.14
AAABAA,2009/11/1,1.13
AAABAA,2009/12/1,1.11
AAABAA,2010/1/1,0.99
AAABAA,2010/2/1,0.99
AAABAA,2010/3/1,1
AAABAA,2010/4/1,0.96
AAABAA,2010/5/1,1.09
AAABAA,2010/6/1,1.35
AAABAA,2010/7/1,1.29
AAABAA,2010/8/1,1.17
AAABAA,2010/9/1,1.13
AAABAA,2010/10/1,1.04
AAABAA,2010/11/1,1.05
AAABAA,2010/12/1,1.08
AAABAA,2011/1/1,1.05
AAABAA,2011/2/1,0.93
AAABAA,2011/3/1,0.9
AAABAA,2011/4/1,0.86
AAABAA,2011/5/1,0.82
AAABAA,2011/6/1,0.76
AAABAA,2011/7/1,0.83
AAABAA,2011/8/1,0.99
AAABAA,2011/9/1,1.18
AAABAA,2011/10/1,1.39
AAABAA,2011/11/1,1.27
AAABAA,2011/12/1,1.32
AAABAA,2012/1/1,1.38
AAABAA,2012/2/1,1.29
AAABAA,2012/3/1,1.24
AAABAA,2012/4/1,1.23
AAABAA,2012/5/1,1.27
AAABAA,2012/6/1,1.38
AAABAA,2012/7/1,1.47
AAABAA,2012/8/1,1.43
AAABAA,2012/9/1,1.35
AAABAA,2012/10/1,1.11
AAABAA,2012/11/1,1.01
AAABAA,2012/12/1,0.98
AAABAA,2013/1/1,0.93
AAABAA,2013/2/1,0.95
AAABAA,2013/3/1,0.92
AAABAA,2013/4/1,0.86
AAABAA,2013/5/1,0.84
AAABAA,2013/6/1,0.92
AAABAA,2013/7/1,0.98
AAABAA,2013/8/1,0.88
AAABAA,2013/9/1,0.83
AAABAA,2013/10/1,0.78
AAABAA,2013/11/1,0.75
AAABAA,2013/12/1,0.76
AAABAA,2014/1/1,0.7
AAABAA,2014/2/1,0.65
AAABAA,2014/3/1,0.68
AAABAA,2014/4/1,0.66
DGS,2002/4/1,1.19318
DGS,2002/5/1,1.04873
DGS,2002/6/1,0.973
DGS,2002/7/1,0.9
DGS,2002/8/1,1.01409
DGS,2002/9/1,1.1295
DGS,2002/10/1,0.93068
DGS,2002/11/1,0.88589
DGS,2002/12/1,0.91417
DGS,2003/1/1,0.77838
DGS,2003/2/1,0.81776
DGS,2003/3/1,0.71786
DGS,2003/4/1,0.68536
DGS,2003/5/1,0.72114
DGS,2003/6/1,0.61143
DGS,2003/7/1,0.50477
DGS,2003/8/1,0.81829
DGS,2003/9/1,0.87179
DGS,2003/10/1,0.652
DGS,2003/11/1,0.68583
DGS,2003/12/1,0.66282
DGS,2004/1/1,0.5815
DGS,2004/2/1,0.55816
DGS,2004/3/1,0.54543
DGS,2004/4/1,0.55238
DGS,2004/5/1,0.7595
DGS,2004/6/1,0.81179
DGS,2004/7/1,0.74981
DGS,2004/8/1,0.72159
DGS,2004/9/1,0.77019
DGS,2004/10/1,0.7785
DGS,2004/11/1,0.7825
DGS,2004/12/1,0.84064
DGS,2005/1/1,0.945
DGS,2005/2/1,1.06855
DGS,2005/3/1,1.15345
DGS,2005/4/1,1.205
DGS,2005/5/1,1.23
DGS,2005/6/1,1.30245
DGS,2005/7/1,1.317
DGS,2005/8/1,1.37826
DGS,2005/9/1,1.3221
DGS,2005/10/1,1.4245
DGS,2005/11/1,1.626
DGS,2005/12/1,1.652
DGS,2006/1/1,1.5735
DGS,2006/2/1,1.67829
DGS,2006/3/1,1.58965
DGS,2006/4/1,1.44487
DGS,2006/5/1,1.39614
DGS,2006/6/1,1.52791
DGS,2006/7/1,1.628
DGS,2006/8/1,1.52791
DGS,2006/9/1,1.5505
DGS,2006/10/1,1.50274
DGS,2006/11/1,1.55429
DGS,2006/12/1,1.4525
DGS,2007/1/1,1.3656
DGS,2007/2/1,1.46342
DGS,2007/3/1,1.43418
DGS,2007/4/1,1.31381
DGS,2007/5/1,1.36064
DGS,2007/6/1,1.45417
DGS,2007/7/1,1.5869
DGS,2007/8/1,1.63983
DGS,2007/9/1,1.58934
DGS,2007/10/1,1.60136
DGS,2007/11/1,1.688
DGS,2007/12/1,1.568
DGS,2008/1/1,1.42752
DGS,2008/2/1,1.4005
DGS,2008/3/1,1.577
DGS,2008/4/1,1.47432
DGS,2008/5/1,1.43981
DGS,2008/6/1,1.63095
DGS,2008/7/1,1.85509
DGS,2008/8/1,1.9756
DGS,2008/9/1,1.76845
DGS,2008/10/1,2.02682
DGS,2008/11/1,2.08306
DGS,2008/12/1,2.416
DGS,2009/1/1,1.9195
DGS,2009/2/1,1.54316
DGS,2009/3/1,1.35932
DGS,2009/4/1,1.05
DGS,2009/5/1,0.6305
DGS,2009/6/1,0.90364
DGS,2009/7/1,0.81518
DGS,2009/8/1,0.82155
DGS,2009/9/1,0.87179
DGS,2009/10/1,0.76343
DGS,2009/11/1,0.56026
DGS,2009/12/1,0.43591
DGS,2010/1/1,0.42526
