Entity,Year,Sex ratio
Armenia,1950,104.41339
Armenia,1951,104.43059
Armenia,1952,104.47063
Armenia,1953,104.505264
Armenia,1954,104.55347
Armenia,1955,104.58419
Armenia,1956,104.60729
Armenia,1957,104.62935
Armenia,1958,104.64151
Armenia,1959,104.67105
Armenia,1960,104.67756
Armenia,1961,104.68656
Armenia,1962,104.71077
Armenia,1963,104.742096
Armenia,1964,104.77978
Armenia,1965,104.80154
Armenia,1966,104.809746
Armenia,1967,104.82853
Armenia,1968,104.85361
Armenia,1969,104.88034
Armenia,1970,104.92711
Armenia,1971,104.97008
Armenia,1972,105.01471
Armenia,1973,105.05704
Armenia,1974,105.112015
Armenia,1975,105.16096
Armenia,1976,104.180954
Armenia,1977,102.46936
Armenia,1978,103.39329
Armenia,1979,105.22572
Armenia,1980,105.41167
Armenia,1981,105.43706
Armenia,1982,105.44788
Armenia,1983,105.45083
Armenia,1984,105.18595
Armenia,1985,103.94275
Armenia,1986,104.388535
Armenia,1987,105.84893
Armenia,1988,105.65579
Armenia,1989,105.32497
Armenia,1990,105.14789
Armenia,1991,105.0868
Armenia,1992,105.51502
Armenia,1993,106.67105
Armenia,1994,108.329506
Armenia,1995,109.9852
Armenia,1996,111.52027
Armenia,1997,113.18453
Armenia,1998,113.6066
Armenia,1999,112.56677
Armenia,2000,112.29727
Armenia,2001,114.82493
Armenia,2002,116.92298
Armenia,2003,116.522354
Armenia,2004,116.362206
Armenia,2005,116.08311
Armenia,2006,115.73739
Armenia,2007,115.40615
Armenia,2008,114.31282
Armenia,2009,112.672035
Armenia,2010,111.773384
Armenia,2011,112.763985
Armenia,2012,113.71759
Armenia,2013,113.311516
Armenia,2014,112.89334
Armenia,2015,112.433846
Armenia,2016,111.906006
Armenia,2017,111.31113
Armenia,2018,110.395226
Armenia,2019,109.130035
Armenia,2020,107.750114
Armenia,2021,106.19238
Armenia,2022,107.06505
Armenia,2023,108.47137
Bermuda,1950,102.666664
Bermuda,1951,102.44821
Bermuda,1952,102.47619
Bermuda,1953,102.504814
Bermuda,1954,102.72373
Bermuda,1955,102.54902
Bermuda,1956,102.57426
Bermuda,1957,102.91829
Bermuda,1958,104.18251
Bermuda,1959,108.09248
Bermuda,1960,106.93642
Bermuda,1961,102.85171
Bermuda,1962,102.88461
Bermuda,1963,102.862595
Bermuda,1964,102.87908
Bermuda,1965,103.39321
Bermuda,1966,102.904564
Bermuda,1967,104.595184
Bermuda,1968,107.36607
Bermuda,1969,109.72851
Bermuda,1970,106.83371
Bermuda,1971,103.181816
Bermuda,1972,103.21839
Bermuda,1973,103.08057
Bermuda,1974,103.22581
Bermuda,1975,103.1579
Bermuda,1976,103.26087
Bermuda,1977,104.06504
Bermuda,1978,106.55738
Bermuda,1979,111.74785
Bermuda,1980,108.963585
Bermuda,1981,103.50404
Bermuda,1982,103.51351
Bermuda,1983,103.28283
Bermuda,1984,103.25
Bermuda,1985,103.29949
Bermuda,1986,103.27456
Bermuda,1987,103.58057
Bermuda,1988,103.78788
Bermuda,1989,104.25
Bermuda,1990,103.94089
Bermuda,1991,103.57143
Bermuda,1992,103.78251
Bermuda,1993,103.65854
Bermuda,1994,103.778336
Bermuda,1995,103.626945
Bermuda,1996,103.439156
Bermuda,1997,104
Bermuda,1998,105.30504
Bermuda,1999,105.68475
Bermuda,2000,104.61539
Bermuda,2001,103.544304
Bermuda,2002,103.816795
Bermuda,2003,103.723404
Bermuda,2004,103.601105
Bermuda,2005,103.703705
Bermuda,2006,103.76811
Bermuda,2007,104.298
Bermuda,2008,107.58427
Bermuda,2009,113.793106
Bermuda,2010,110.28571
Bermuda,2011,103.57143
Bermuda,2012,103.934425
Bermuda,2013,103.01003
Bermuda,2014,102.6936
Bermuda,2015,107.34266
Bermuda,2016,107.80142
Bermuda,2017,103.91459
Bermuda,2018,104.059044
Bermuda,2019,103.7594
Bermuda,2020,103.67647
Bermuda,2021,103.703705
Bermuda,2022,103.83142
Bermuda,2023,103.89105
