Entity,Year,phosphate fertilizer use
Myanmar,1961,0.1
Myanmar,1962,0.1
Myanmar,1963,0.1
Myanmar,1964,0.1
Myanmar,1965,0.1
Myanmar,1966,0.29
Myanmar,1967,1.21
Myanmar,1968,0.54
Myanmar,1969,1.17
Myanmar,1970,0.54
Myanmar,1971,1.48
Myanmar,1972,1.41
Myanmar,1973,0.43
Myanmar,1974,0.42
Myanmar,1975,1.08
Myanmar,1976,0.67
Myanmar,1977,1.02
Myanmar,1978,1.44
Myanmar,1979,2.12
Myanmar,1980,3.02
Myanmar,1981,2.97
Myanmar,1982,4.28
Myanmar,1983,3.25
Myanmar,1984,4.66
Myanmar,1985,4.73
Myanmar,1986,4.88
Myanmar,1987,2.44
Myanmar,1988,1.87
Myanmar,1989,1.72
Myanmar,1990,1.47
Myanmar,1991,1.44
Myanmar,1992,1.09
Myanmar,1993,2.35
Myanmar,1994,3.17
Myanmar,1995,5.66
Myanmar,1996,3.26
Myanmar,1997,3.46
Myanmar,1998,3.4
Myanmar,1999,2.83
Myanmar,2000,3.31
Myanmar,2001,1.48
Myanmar,2002,0.8
Myanmar,2003,2.22
Myanmar,2004,5.26
Myanmar,2005,0.73
Myanmar,2006,1.59
Myanmar,2007,5.91
Myanmar,2008,1.12
Myanmar,2009,0.4
Myanmar,2010,0.86
Myanmar,2011,2.67
Myanmar,2012,1.72
Myanmar,2013,1.07
Myanmar,2014,1.16
Myanmar,2015,1.19
Myanmar,2016,2.48
Myanmar,2017,7.45
Myanmar,2018,11.71
Myanmar,2019,14.48
Myanmar,2020,11.34
Myanmar,2021,3.53
Iceland,1961,26.88
Iceland,1962,36.02
Iceland,1963,39.31
Iceland,1964,42.5
Iceland,1965,47.51
Iceland,1966,43.87
Iceland,1967,49.11
Iceland,1968,55.93
Iceland,1969,50.94
Iceland,1970,53.33
Iceland,1971,59.66
Iceland,1972,58.46
Iceland,1973,61.02
Iceland,1974,58.09
Iceland,1975,61.7
Iceland,1976,62.79
Iceland,1977,62.99
Iceland,1978,65.52
Iceland,1979,64.8
Iceland,1980,61.11
Iceland,1981,62.63
Iceland,1982,67.16
Iceland,1983,61.36
Iceland,1984,55.87
Iceland,1985,52.17
Iceland,1986,50.21
Iceland,1987,48.28
Iceland,1988,43.62
Iceland,1989,38.76
Iceland,1990,43.4
Iceland,1991,46.26
Iceland,1992,38.79
Iceland,1993,44.44
Iceland,1994,37.02
Iceland,1995,44.44
Iceland,1996,26.12
Iceland,1997,30.83
Iceland,1998,32.31
Iceland,1999,32.56
Iceland,2000,31.01
Iceland,2001,42.42
Iceland,2002,36.71
Iceland,2003,26.31
Iceland,2004,38.79
Iceland,2005,34.33
Iceland,2006,42
Iceland,2007,47.86
Iceland,2008,43.67
Iceland,2009,34.67
Iceland,2010,45.67
Iceland,2011,50
Iceland,2012,58.03
Iceland,2013,56.29
Iceland,2014,73.32
Iceland,2015,30.69
Iceland,2016,56.55
Iceland,2017,16.91
Iceland,2018,16.9
Iceland,2019,12.25
Iceland,2020,13.79
Iceland,2021,14.89
