Entity,Year,"International tourist departures per 1,000 people"
Canada,1995,618.0086
Canada,1996,637.3792
Canada,1997,635.7811
Canada,1998,581.86676
Canada,1999,600.2067
Canada,2000,620.9739
Canada,2001,588.1735
Canada,2002,561.4293
Canada,2003,557.1909
Canada,2004,609.84644
Canada,2005,650.3973
Canada,2006,693.88196
Canada,2007,760.3913
Canada,2008,808.2133
Canada,2009,774.6324
Canada,2010,844.9011
Canada,2011,881.0477
Canada,2012,923.9599
Canada,2013,934.90515
Canada,2014,940.836
Canada,2015,897.19116
Canada,2016,860.3885
Canada,2017,889.1968
Canada,2018,896.635
Canada,2019,875.1042
Canada,2020,235.01581
Canada,2021,128.82906
Canada,2022,551.2443
Norway,1995,135.35242
Norway,1996,157.94986
Norway,1997,170.94266
Norway,1999,508.98877
Norway,2000,533.08203
Norway,2001,520.1996
Norway,2002,579.3283
Norway,2003,566.96375
Norway,2004,644.6358
Norway,2005,684.81903
Norway,2006,694.3483
Norway,2007,720.9573
Norway,2009,1375.1329
Norway,2010,1552.414
Norway,2011,1641.4401
Norway,2012,1843.1964
Norway,2013,1826.7267
Norway,2014,1788.8436
Norway,2015,1686.0072
Norway,2016,1533.6202
Norway,2017,1548.285
Norway,2018,1526.8035
Norway,2019,1662.386
Norway,2020,314.1688
Norway,2021,343.92975
Norway,2022,1290.1346
