Entity,Year,"International tourist departures per 1,000 people"
Armenia,2003,55.610836
Armenia,2004,73.11722
Armenia,2005,89.476974
Armenia,2006,110.01979
Armenia,2007,157.32018
Armenia,2008,174.32455
Armenia,2009,178.5764
Armenia,2010,192.07918
Armenia,2011,244.58936
Armenia,2012,330.19357
Armenia,2013,370.56958
Armenia,2014,409.9324
Armenia,2015,406.34277
Armenia,2016,432.71283
Armenia,2017,508.41055
Armenia,2018,557.73773
Armenia,2019,643.2562
Armenia,2020,119.68616
Armenia,2021,147.36935
Armenia,2022,395.3649
Zimbabwe,2003,31.555737
Zimbabwe,2004,40.272034
Zimbabwe,2005,37.970325
Zimbabwe,2006,42.81268
Zimbabwe,2007,42.720818
Zimbabwe,2008,45.75916
Zimbabwe,2009,48.011105
Zimbabwe,2010,48.665253
Zimbabwe,2011,50.97304
Zimbabwe,2012,52.10638
Zimbabwe,2013,210.2212
Zimbabwe,2014,223.9683
Zimbabwe,2015,235.64122
Zimbabwe,2016,218.62569
Zimbabwe,2017,186.8694
Zimbabwe,2018,152.18375
Zimbabwe,2019,214.45349
Zimbabwe,2020,63.953575
Zimbabwe,2021,37.79146
Zimbabwe,2022,100.192535
