Entity,Year,Patent applications per million people
Cuba,1980,13.151033
Cuba,1981,12.387596
Cuba,1982,18.468279
Cuba,1983,16.625618
Cuba,1984,21.260664
Cuba,1992,0.09273216
Cuba,1993,0.09224297
Cuba,1994,11.113965
Cuba,1995,9.517962
Cuba,1996,7.5708957
Cuba,1997,9.910776
Cuba,1999,9.936683
Cuba,2005,9.336559
Cuba,2006,8.347664
Cuba,2007,6.566169
Cuba,2008,6.1188617
Cuba,2009,5.2290206
Cuba,2011,5.4873505
Cuba,2012,3.3600688
Cuba,2013,2.3848255
Cuba,2014,2.1178906
Cuba,2016,2.821369
Cuba,2017,2.5581303
Cuba,2018,2.5599732
Cuba,2019,2.3858547
Cuba,2020,2.9201744
Cuba,2021,1.8656098
