Entity,Year,Refugees by destination
Yemen,1977,50
Yemen,1978,15050
Yemen,1979,15360
Yemen,1980,15550
Yemen,1981,1030
Yemen,1982,1400
Yemen,1983,3680
Yemen,1984,4280
Yemen,1985,5000
Yemen,1986,105000
Yemen,1987,73000
Yemen,1988,78157
Yemen,1989,80130
Yemen,1990,2938
Yemen,1991,29977
Yemen,1992,59680
Yemen,1993,54450
Yemen,1994,48305
Yemen,1995,53453
Yemen,1996,53546
Yemen,1997,40965
Yemen,1998,61380
Yemen,1999,60477
Yemen,2000,60543
Yemen,2001,69462
Yemen,2002,82795
Yemen,2003,61876
Yemen,2004,66379
Yemen,2005,81932
Yemen,2006,95791
Yemen,2007,117358
Yemen,2008,140166
Yemen,2009,170850
Yemen,2010,190088
Yemen,2011,214736
Yemen,2012,237176
Yemen,2013,241281
Yemen,2014,257637
Yemen,2015,267163
Yemen,2016,269778
Yemen,2017,270913
Yemen,2018,264359
Yemen,2019,268503
Yemen,2020,166906
Yemen,2021,89467
Yemen,2022,77458
Yemen,2023,55568
