Entity,Year,Annual CO2 emissions from coal (per capita)
India,1858,0.001630635
India,1859,0.002622529
India,1860,0.002641374
India,1861,0.002035771
India,1862,0.002245715
India,1863,0.002481271
India,1864,0.002338916
India,1865,0.002291242
India,1866,0.002577757
India,1878,0.006954148
India,1879,0.006323978
India,1880,0.006946546
India,1881,0.006766868
India,1882,0.007605692
India,1883,0.00877685
India,1884,0.009248369
India,1885,0.008499368
India,1886,0.009038863
India,1887,0.010099323
India,1888,0.010945929
India,1889,0.012386463
India,1890,0.013730642
India,1891,0.014683786
India,1892,0.0159507
India,1893,0.016084135
India,1894,0.017683223
India,1895,0.02216401
India,1896,0.02407368
India,1897,0.02539658
India,1898,0.028734159
India,1899,0.03170046
India,1900,0.03795494
India,1901,0.040991712
India,1902,0.045641325
India,1903,0.04547476
India,1904,0.049950708
India,1905,0.05088763
India,1906,0.0588038
India,1907,0.06662867
India,1908,0.07589034
India,1909,0.070208386
India,1910,0.070990495
India,1911,0.074732855
India,1912,0.086268894
India,1913,0.0950013
India,1914,0.09642678
India,1915,0.10009089
India,1916,0.10087726
India,1917,0.10639787
India,1918,0.12092753
India,1919,0.13166092
India,1920,0.10403562
India,1921,0.1111123
India,1922,0.10856055
India,1923,0.11118296
India,1924,0.1186404
India,1925,0.11597684
India,1926,0.11540116
India,1927,0.12019406
India,1928,0.12152898
India,1929,0.124932
India,1930,0.1255471
India,1931,0.11313823
India,1932,0.10362759
India,1933,0.10034715
India,1934,0.1103033
India,1935,0.11350543
India,1936,0.10995999
India,1937,0.120066024
India,1938,0.1340389
India,1939,0.13007505
India,1940,0.1369234
India,1941,0.13712795
India,1942,0.13740915
India,1943,0.120001175
India,1944,0.12381336
India,1945,0.1392551
India,1946,0.13899739
India,1947,0.14378315
India,1948,0.14474829
India,1949,0.15263924
India,1950,0.15178438
India,1951,0.154046
India,1952,0.1603591
India,1953,0.15959573
India,1954,0.16000548
India,1955,0.16433148
India,1956,0.16412753
India,1957,0.17929113
India,1958,0.18235373
India,1959,0.18677098
India,1960,0.20155948
India,1961,0.21247828
India,1962,0.22581281
India,1963,0.23587067
India,1964,0.22103027
India,1965,0.23759751
India,1966,0.23362193
India,1967,0.23278752
India,1968,0.23688945
India,1969,0.23107734
India,1970,0.22634009
India,1971,0.22749923
India,1972,0.2355495
India,1973,0.23619024
India,1974,0.24393447
India,1975,0.2639219
India,1976,0.26990044
India,1977,0.27701205
India,1978,0.26640388
India,1979,0.2691215
India,1980,0.2870963
India,1981,0.29885787
India,1982,0.29587528
India,1983,0.31533465
India,1984,0.3066633
India,1985,0.32781938
India,1986,0.3454847
India,1987,0.36079198
India,1988,0.3833617
India,1989,0.40142974
India,1990,0.4237287
India,1991,0.4446547
India,1992,0.45563015
India,1993,0.46970242
India,1994,0.48420876
India,1995,0.49122363
India,1996,0.5149631
India,1997,0.52817965
India,1998,0.5145217
India,1999,0.5398899
India,2000,0.5415103
India,2001,0.54001427
India,2002,0.5453691
India,2003,0.56043
India,2004,0.5897647
India,2005,0.62482333
India,2006,0.6595433
India,2007,0.70756197
India,2008,0.7540127
India,2009,0.802878
India,2010,0.8170471
India,2011,0.8518584
India,2012,0.94351757
India,2013,0.9849933
India,2014,1.0722255
India,2015,1.091536
India,2016,1.1156721
India,2017,1.1409168
India,2018,1.2136229
India,2019,1.196475
India,2020,1.1134887
India,2021,1.2496759
India,2022,1.301967
India,2023,1.4130136
United Kingdom,1750,1.0019121
United Kingdom,1760,1.070363
United Kingdom,1770,1.2627987
United Kingdom,1780,1.4520383
United Kingdom,1790,1.7707893
United Kingdom,1800,2.9153564
United Kingdom,1801,2.8286498
United Kingdom,1802,2.7656965
United Kingdom,1803,2.5437405
United Kingdom,1804,2.4763212
United Kingdom,1805,2.5825114
United Kingdom,1806,2.695625
United Kingdom,1807,2.811327
United Kingdom,1808,2.8766963
United Kingdom,1809,2.915259
United Kingdom,1810,2.8722124
United Kingdom,1811,2.8188872
United Kingdom,1812,2.7279038
United Kingdom,1813,2.6192143
United Kingdom,1814,2.5276635
United Kingdom,1815,2.4391406
United Kingdom,1816,2.3177464
United Kingdom,1817,2.3279696
United Kingdom,1818,2.303634
United Kingdom,1819,2.1739373
United Kingdom,1820,2.0557053
United Kingdom,1821,2.0387487
United Kingdom,1822,2.0682518
United Kingdom,1823,2.1145442
United Kingdom,1824,2.1529691
United Kingdom,1825,2.1886015
United Kingdom,1826,2.1842163
United Kingdom,1827,2.2401965
United Kingdom,1828,2.2364638
United Kingdom,1829,2.234891
United Kingdom,1830,2.8095102
United Kingdom,1831,2.6452432
United Kingdom,1832,2.5387402
United Kingdom,1833,2.4873807
United Kingdom,1834,2.6161683
United Kingdom,1835,2.8411562
United Kingdom,1836,3.0594063
United Kingdom,1837,2.9013233
United Kingdom,1838,2.8080924
United Kingdom,1839,2.8675888
United Kingdom,1840,3.0363529
United Kingdom,1841,3.0412488
United Kingdom,1842,3.1750915
United Kingdom,1843,3.2955952
United Kingdom,1844,3.490339
United Kingdom,1845,3.7006795
United Kingdom,1846,3.5360403
