Entity,Year,Terrorist attacks
Lebanon,1970,1
Lebanon,1971,1
Lebanon,1972,3
Lebanon,1973,11
Lebanon,1974,11
Lebanon,1975,15
Lebanon,1976,4
Lebanon,1977,4
Lebanon,1978,12
Lebanon,1979,38
Lebanon,1980,86
Lebanon,1981,81
Lebanon,1982,120
Lebanon,1983,234
Lebanon,1984,166
Lebanon,1985,96
Lebanon,1986,106
Lebanon,1987,94
Lebanon,1988,125
Lebanon,1989,142
Lebanon,1990,84
Lebanon,1991,91
Lebanon,1992,91
Lebanon,1994,67
Lebanon,1995,38
Lebanon,1996,39
Lebanon,1997,46
Lebanon,1998,23
Lebanon,1999,42
Lebanon,2000,12
Lebanon,2001,5
Lebanon,2002,8
Lebanon,2003,5
Lebanon,2004,1
Lebanon,2005,17
Lebanon,2006,8
Lebanon,2007,18
Lebanon,2008,58
Lebanon,2009,14
Lebanon,2010,5
Lebanon,2011,10
Lebanon,2012,15
Lebanon,2013,121
Lebanon,2014,205
Lebanon,2015,44
Lebanon,2016,41
Lebanon,2017,24
Lebanon,2018,8
Lebanon,2019,7
Lebanon,2020,10
Lebanon,2021,1
El Salvador,1970,0
El Salvador,1971,0
El Salvador,1972,2
El Salvador,1973,1
El Salvador,1974,3
El Salvador,1975,3
El Salvador,1976,13
El Salvador,1977,6
El Salvador,1978,91
El Salvador,1979,326
El Salvador,1980,710
El Salvador,1981,664
El Salvador,1982,537
El Salvador,1983,371
El Salvador,1984,273
El Salvador,1985,436
El Salvador,1986,175
El Salvador,1987,234
El Salvador,1988,367
El Salvador,1989,356
El Salvador,1990,184
El Salvador,1991,500
El Salvador,1992,29
El Salvador,1994,21
El Salvador,1995,9
El Salvador,1996,7
El Salvador,1997,2
El Salvador,1998,0
El Salvador,1999,0
El Salvador,2000,0
El Salvador,2001,0
El Salvador,2002,0
El Salvador,2003,0
El Salvador,2004,0
El Salvador,2005,0
El Salvador,2006,0
El Salvador,2007,0
El Salvador,2008,0
El Salvador,2009,0
El Salvador,2010,0
El Salvador,2011,0
El Salvador,2012,0
El Salvador,2013,0
El Salvador,2014,0
El Salvador,2015,0
El Salvador,2016,0
El Salvador,2017,0
El Salvador,2018,0
El Salvador,2019,0
El Salvador,2020,0
El Salvador,2021,1
