Country,Month,Reported cases of acute respiratory infections
Northern Hemisphere,2009/1/1,13774
Northern Hemisphere,2009/2/1,9999
Northern Hemisphere,2009/3/1,10030
Northern Hemisphere,2009/4/1,5682
Northern Hemisphere,2009/5/1,6639
Northern Hemisphere,2009/6/1,6774
Northern Hemisphere,2009/7/1,581568
Northern Hemisphere,2009/8/1,874057
Northern Hemisphere,2009/9/1,1575546
Northern Hemisphere,2009/10/1,2417375
Northern Hemisphere,2009/11/1,4789473
Northern Hemisphere,2009/12/1,2414773
Northern Hemisphere,2010/1/1,4406367
Northern Hemisphere,2010/2/1,4875070
Northern Hemisphere,2010/3/1,5271861
Northern Hemisphere,2010/4/1,3658414
Northern Hemisphere,2010/5/1,3442050
Northern Hemisphere,2010/6/1,2505177
Northern Hemisphere,2010/7/1,1677563
Northern Hemisphere,2010/8/1,3087241
Northern Hemisphere,2010/9/1,3963453
Northern Hemisphere,2010/10/1,4694918
Northern Hemisphere,2010/11/1,6167360
Northern Hemisphere,2010/12/1,5495813
Northern Hemisphere,2011/1/1,7185384
Northern Hemisphere,2011/2/1,6110373
Northern Hemisphere,2011/3/1,4610156
Northern Hemisphere,2011/4/1,3586281
Northern Hemisphere,2011/5/1,3721042
Northern Hemisphere,2011/6/1,2114779
Northern Hemisphere,2011/7/1,1690955
Northern Hemisphere,2011/8/1,1928314
Northern Hemisphere,2011/9/1,1638012
Northern Hemisphere,2011/10/1,4708962
Northern Hemisphere,2011/11/1,2243695
Northern Hemisphere,2011/12/1,3308365
Northern Hemisphere,2012/1/1,5556497
Northern Hemisphere,2012/2/1,5449836
Northern Hemisphere,2012/3/1,5071877
Northern Hemisphere,2012/4/1,5076719
Northern Hemisphere,2012/5/1,3618096
Northern Hemisphere,2012/6/1,3137479
Northern Hemisphere,2012/7/1,3284520
Northern Hemisphere,2012/8/1,2407759
Northern Hemisphere,2012/9/1,4303165
Northern Hemisphere,2012/10/1,6127003
Northern Hemisphere,2012/11/1,5118375
Northern Hemisphere,2012/12/1,5969594
Northern Hemisphere,2013/1/1,5893917
Northern Hemisphere,2013/2/1,6887271
Northern Hemisphere,2013/3/1,5695739
Northern Hemisphere,2013/4/1,5531019
Northern Hemisphere,2013/5/1,3604507
Northern Hemisphere,2013/6/1,3221776
Northern Hemisphere,2013/7/1,3467643
Northern Hemisphere,2013/8/1,2764516
Northern Hemisphere,2013/9/1,5495777
Northern Hemisphere,2013/10/1,4852361
Northern Hemisphere,2013/11/1,4795831
Northern Hemisphere,2013/12/1,5647234
Northern Hemisphere,2014/1/1,5463179
