Entity,Year,Average effective age of retirement
Italy,1994,59.7
Italy,1995,59.7
Italy,1996,60
Italy,1997,59.5
Italy,1998,58.29999924
Italy,1999,58.1
Italy,2000,58.4
Italy,2001,59
Italy,2002,60
Italy,2003,59.2
Italy,2004,59.4
Italy,2005,58.9
Italy,2006,58.7
Italy,2007,58.7
Italy,2008,58.6
Italy,2009,58.5
Italy,2010,59
Italy,2011,59.2
Italy,2012,60.6
Italy,2013,60.3
Italy,2014,61.1
Italy,2015,60.6
Italy,2016,61.3
Italy,2017,61
Italy,2018,61.5
Mexico,1994,73.3
Mexico,1995,73.6
Mexico,1996,73.2
Mexico,1997,74
Mexico,1998,70.69999695
Mexico,1999,71.7
Mexico,2000,69.6
Mexico,2001,68.1
Mexico,2002,68
Mexico,2003,69
Mexico,2004,73
Mexico,2005,72.8
Mexico,2006,74.1
Mexico,2007,74.7
Mexico,2008,73.6
Mexico,2009,69.5
Mexico,2010,69.8
Mexico,2011,69.1
Mexico,2012,68.7
Mexico,2013,68.9
Mexico,2014,67.2
Mexico,2015,68.3
Mexico,2016,67.5
Mexico,2017,66.19999695
Mexico,2018,66.5
