symbol,observation_date,VALUE
APU1,2015/1/1,2.956
APU1,2015/4/1,2.751
APU1,2015/7/1,2.186
APU1,2015/10/1,2.472
APU1,2016/1/1,3.388
APU1,2016/4/1,2.958
APU1,2016/7/1,2.192
APU1,2016/10/1,2.493
APU1,2017/1/1,2.879
APU1,2017/4/1,2.979
APU1,2017/7/1,2.273
APU1,2017/10/1,2.432
APU1,2018/1/1,2.842
APU1,2018/4/1,2.927
APU1,2018/7/1,2.421
APU1,2018/10/1,2.144
APU1,2019/1/1,2.699
APU1,2019/4/1,2.906
APU1,2019/7/1,2.031
APU1,2019/10/1,2.146
APU1,2020/1/1,2.614
APU2,2015/1/1,2.069
APU2,2015/4/1,1.891
APU2,2015/7/1,2.155
APU2,2015/10/1,3.013
APU2,2016/1/1,2.7
APU2,2016/4/1,2.109
APU2,2016/7/1,2.044
APU2,2016/10/1,2.888
APU2,2017/1/1,2.432
APU2,2017/4/1,2.072
APU2,2017/7/1,2.09
APU2,2017/10/1,2.762
APU2,2018/1/1,2.53
APU2,2018/4/1,2.164
APU2,2018/7/1,2.053
APU2,2018/10/1,2.628
APU2,2019/1/1,2.875
APU2,2019/4/1,2.181
APU2,2019/7/1,2.091
APU2,2019/10/1,2.701
APU2,2020/1/1,2.603
