Entity,Year,Coal consumption - TWh
Europe,1965,9548.793
Europe,1966,9420.777
Europe,1967,9291.548
Europe,1968,9340.795
Europe,1969,9481.04
Europe,1970,9329.97
Europe,1971,9149.113
Europe,1972,9051.465
Europe,1973,9181.223
Europe,1974,9144.451
Europe,1975,9133.58
Europe,1976,9361.901
Europe,1977,9432.452
Europe,1978,9490.763
Europe,1979,9756.862
Europe,1980,9750.396
Europe,1981,9612.251
Europe,1982,9695.899
Europe,1983,9772.314
Europe,1984,9714.767
Europe,1985,9438.529
Europe,1986,9425.001
Europe,1987,9519.9
Europe,1988,9342.775
Europe,1989,9155.611
Europe,1990,8633.65
Europe,1991,8057.4033
Europe,1992,7567.019
Europe,1993,7006.555
Europe,1994,6479.114
Europe,1995,6366.5786
Europe,1996,6171.309
Europe,1997,5902.96
Europe,1998,5678.0034
Europe,1999,5441.981
Europe,2000,5587.1353
Europe,2001,5552.031
Europe,2002,5550.7954
Europe,2003,5721.2534
Europe,2004,5584.339
Europe,2005,5411.2554
Europe,2006,5605.0044
Europe,2007,5597.71
Europe,2008,5399.295
Europe,2009,4798.298
Europe,2010,4955.159
Europe,2011,5149.184
Europe,2012,5274.9707
Europe,2013,5101.382
Europe,2014,4740.998
Europe,2015,4632.6953
Europe,2016,4418.06
Europe,2017,4218.978
Europe,2018,4152.721
Europe,2019,3592.2205
Europe,2020,3109.9895
Europe,2021,3377.876
Europe,2022,3372.654
Europe,2023,2950.043
India,1965,413.40735
India,1966,412.41534
India,1967,419.28525
India,1968,433.8247
India,1969,460.8412
India,1970,436.80887
India,1971,442.8722
India,1972,467.68307
India,1973,461.44937
India,1974,520.8561
India,1975,559.9062
India,1976,583.0348
India,1977,610.3462
India,1978,590.66406
India,1979,627.49286
India,1980,659.565
India,1981,742.1424
India,1982,733.90405
India,1983,779.04803
India,1984,818.31085
India,1985,857.39703
India,1986,921.24005
India,1987,1011.6298
India,1988,1085.5574
India,1989,1179.941
India,1990,1276.025
India,1991,1357.8776
India,1992,1438.2565
India,1993,1489.6254
India,1994,1537.2871
India,1995,1631.6134
India,1996,1678.4825
India,1997,1755.3625
India,1998,1813.659
India,1999,1796.674
India,2000,1911.1661
India,2001,1926.9531
India,2002,2012.7899
India,2003,2107.9834
India,2004,2243.5286
India,2005,2456.1133
India,2006,2549.8647
India,2007,2790.2725
India,2008,3020.762
India,2009,3268.2656
India,2010,3348.546
India,2011,3478.864
India,2012,3787.818
India,2013,4009.7288
India,2014,4401.073
India,2015,4490.47
India,2016,4587.692
India,2017,4737.1567
India,2018,4981.6016
India,2019,4989.023
India,2020,4714.672
India,2021,5352.792
India,2022,5562.6577
India,2023,6105.902
