Entity,year,Coal consumption
India,1965,413.40735
India,1966,412.41534
India,1967,419.28525
India,1968,433.8247
India,1969,460.8412
India,1970,436.80887
India,1971,442.8722
India,1972,467.68307
India,1973,461.44937
India,1974,520.8561
India,1975,559.9062
India,1976,583.0348
India,1977,610.3462
India,1978,590.66406
India,1979,627.49286
India,1980,659.565
India,1981,742.1424
India,1982,733.90405
India,1983,779.04803
India,1984,818.31085
India,1985,857.39703
India,1986,921.24005
India,1987,1011.6298
India,1988,1085.5574
India,1989,1179.941
India,1990,1276.025
India,1991,1357.8776
India,1992,1438.2565
India,1993,1489.6254
India,1994,1537.2871
India,1995,1631.6134
India,1996,1678.4825
India,1997,1755.3625
India,1998,1813.659
India,1999,1796.674
India,2000,1911.1661
India,2001,1926.9531
India,2002,2012.7899
India,2003,2107.9834
India,2004,2243.5286
India,2005,2456.1133
India,2006,2549.8647
India,2007,2790.2725
India,2008,3020.762
India,2009,3268.2656
India,2010,3348.546
India,2011,3478.864
India,2012,3787.818
India,2013,4009.7288
India,2014,4401.073
India,2015,4490.47
India,2016,4587.692
India,2017,4737.1567
India,2018,4981.6016
India,2019,4989.023
India,2020,4714.672
India,2021,5352.792
India,2022,5562.6577
India,2023,6105.902
North America,1965,3412.8337
North America,1966,3566.435
North America,1967,3502.8997
North America,1968,3634.5938
North America,1969,3642.3462
North America,1970,3624.5098
North America,1971,3432.4197
North America,1972,3556.7488
North America,1973,3812.2861
North America,1974,3731.2556
North America,1975,3729.3574
North America,1976,4013.345
North America,1977,4174.8345
North America,1978,4084.0315
North America,1979,4426.2812
North America,1980,4579.549
North America,1981,4716.7783
North America,1982,4573.802
North America,1983,4751.3354
North America,1984,5111.611
North America,1985,5217.145
North America,1986,5136.4907
North America,1987,5366.754
North America,1988,5620.6733
North America,1989,5685.6475
North America,1990,5696.6265
North America,1991,5635.0215
North America,1992,5677.2573
North America,1993,5845.8174
North America,1994,5891.264
North America,1995,5960.4844
North America,1996,6229.24
North America,1997,6367.0957
North America,1998,6449.974
North America,1999,6428.929
North America,2000,6722.444
North America,2001,6558.836
North America,2002,6621.082
North America,2003,6703.8784
North America,2004,6726.9937
North America,2005,6845.305
North America,2006,6749.263
North America,2007,6837.884
North America,2008,6706.3364
North America,2009,5902.084
North America,2010,6254.494
North America,2011,5924.3135
North America,2012,5254.53
North America,2013,5431.3154
North America,2014,5409.323
North America,2015,4713.268
North America,2016,4341.471
North America,2017,4270.6177
North America,2018,4047.9238
North America,2019,3498.6025
North America,2020,2802.9958
North America,2021,3154.9893
North America,2022,2960.7454
North America,2023,2486.6787
