Entity,Year,Period life expectancy at birth - Sex: all - Age: 0
Afghanistan,1950,27.7275
Afghanistan,1951,27.9634
Afghanistan,1952,28.4456
Afghanistan,1953,28.9304
Afghanistan,1954,29.2258
Afghanistan,1955,29.9206
Afghanistan,1956,30.4078
Afghanistan,1957,30.9458
Afghanistan,1958,31.5066
Afghanistan,1959,32.0386
Afghanistan,1960,32.5346
Afghanistan,1961,33.0681
Afghanistan,1962,33.5471
Afghanistan,1963,34.0162
Afghanistan,1964,34.4942
Afghanistan,1965,34.9528
Afghanistan,1966,35.4531
Afghanistan,1967,35.924
Afghanistan,1968,36.4183
Afghanistan,1969,36.9101
Afghanistan,1970,37.4178
Afghanistan,1971,37.9233
Afghanistan,1972,38.4439
Afghanistan,1973,39.0029
Afghanistan,1974,39.5498
Afghanistan,1975,40.1003
Afghanistan,1976,40.6454
Afghanistan,1977,41.2278
Afghanistan,1978,40.2712
Afghanistan,1979,39.0861
Afghanistan,1980,39.6181
Afghanistan,1981,40.164
Afghanistan,1982,37.7661
Afghanistan,1983,38.1865
Afghanistan,1984,33.3289
Afghanistan,1985,33.5504
Afghanistan,1986,39.3962
Afghanistan,1987,39.8436
Afghanistan,1988,43.9579
Afghanistan,1989,45.1582
Afghanistan,1990,45.9672
Afghanistan,1991,46.6631
Afghanistan,1992,47.5955
Afghanistan,1993,51.4664
Afghanistan,1994,51.4945
Afghanistan,1995,52.5442
Afghanistan,1996,53.2433
Afghanistan,1997,53.6342
Afghanistan,1998,52.9431
Afghanistan,1999,54.8464
Afghanistan,2000,55.2978
Afghanistan,2001,55.7981
Afghanistan,2002,56.4538
Afghanistan,2003,57.3445
Afghanistan,2004,57.9436
Afghanistan,2005,58.3608
Afghanistan,2006,58.6844
Afghanistan,2007,59.1113
Afghanistan,2008,59.8515
Afghanistan,2009,60.3636
Afghanistan,2010,60.8508
Afghanistan,2011,61.4191
Afghanistan,2012,61.923
Afghanistan,2013,62.4167
Afghanistan,2014,62.5451
Afghanistan,2015,62.6587
Afghanistan,2016,63.1361
Afghanistan,2017,63.016
Afghanistan,2018,63.081
Afghanistan,2019,63.5645
Afghanistan,2020,62.5751
Afghanistan,2021,61.9824
Anguilla,1950,55.2621
Anguilla,1951,55.515
Anguilla,1952,55.975
Anguilla,1953,56.5086
Anguilla,1954,57.0461
Anguilla,1955,57.55
Anguilla,1956,58.1332
Anguilla,1957,58.6757
Anguilla,1958,59.24
Anguilla,1959,59.8696
Anguilla,1960,58.9733
Anguilla,1961,60.8979
Anguilla,1962,61.343
Anguilla,1963,61.862
Anguilla,1964,62.3557
Anguilla,1965,62.874
Anguilla,1966,63.2933
Anguilla,1967,63.7041
Anguilla,1968,64.179
Anguilla,1969,64.7183
Anguilla,1970,65.1144
Anguilla,1971,65.5199
Anguilla,1972,65.9989
Anguilla,1973,66.3752
Anguilla,1974,66.803
Anguilla,1975,67.2743
Anguilla,1976,67.6856
Anguilla,1977,68.0195
Anguilla,1978,68.4098
Anguilla,1979,68.685
Anguilla,1980,68.9625
Anguilla,1981,69.1437
Anguilla,1982,69.35
Anguilla,1983,69.5141
Anguilla,1984,69.6946
Anguilla,1985,69.8919
Anguilla,1986,70.1679
Anguilla,1987,70.5042
Anguilla,1988,70.8806
Anguilla,1989,71.2367
Anguilla,1990,71.7787
Anguilla,1991,72.5549
Anguilla,1992,73.2999
Anguilla,1993,73.7589
Anguilla,1994,74.0801
Anguilla,1995,74.4342
Anguilla,1996,74.6978
Anguilla,1997,74.9822
Anguilla,1998,75.3192
Anguilla,1999,75.6482
Anguilla,2000,75.9922
Anguilla,2001,76.2945
Anguilla,2002,76.4679
Anguilla,2003,76.5095
Anguilla,2004,76.5169
Anguilla,2005,76.5311
Anguilla,2006,76.6497
Anguilla,2007,76.9023
Anguilla,2008,77.1457
Anguilla,2009,77.4142
Anguilla,2010,77.7357
Anguilla,2011,77.9068
Anguilla,2012,77.8034
Anguilla,2013,77.5746
Anguilla,2014,77.3574
Anguilla,2015,77.0668
Anguilla,2016,76.8269
Anguilla,2017,75.9208
Anguilla,2018,76.8119
Anguilla,2019,76.8816
Anguilla,2020,76.902
Anguilla,2021,76.6138
