Entity,Year,Air transport passengers carried
China,1974,710000
China,1975,1000000
China,1976,1050000
China,1977,1110000
China,1978,1540000
China,1979,2519000
China,1980,2568000
China,1981,3236000
China,1982,3942000
China,1983,3836000
China,1984,5000000
China,1985,7300000
China,1986,10000000
China,1987,12500000
China,1988,17000000
China,1989,11080000
China,1990,16596100
China,1991,19520000
China,1992,27345000
China,1993,31312500
China,1994,37601000
China,1995,47564500
China,1996,51770100
China,1997,52277000
China,1998,53234000
China,1999,55853100
China,2000,61891810
China,2001,72660660
China,2002,83671800
China,2003,86040640
China,2004,119789020
China,2005,136721620
China,2006,158013340
China,2007,183613140
China,2008,191001220
China,2009,229062100
China,2010,266293020
China,2011,292160160
China,2012,318475940
China,2013,352795300
China,2014,390878800
China,2015,436183970
China,2016,487960480
China,2017,551234500
China,2018,611439800
China,2019,659629060
China,2020,417255840
China,2021,440301220
Japan,1970,16315100
Japan,1971,17880500
Japan,1972,20169500
Japan,1973,25393100
Japan,1974,27485700
Japan,1975,27281400
Japan,1976,29566000
Japan,1977,36177400
Japan,1978,40554700
Japan,1979,45367800
Japan,1980,45144500
Japan,1981,48061200
Japan,1982,46394200
Japan,1983,46554000
Japan,1984,50452800
Japan,1985,51294700
Japan,1986,52489800
Japan,1987,57757700
Japan,1988,62087500
Japan,1989,69321700
Japan,1990,76223800
Japan,1991,78719800
Japan,1992,81378400
Japan,1993,80063900
Japan,1994,83913500
Japan,1995,91797000
Japan,1996,95913500
Japan,1997,94997600
Japan,1998,101701200
Japan,1999,105994500
Japan,2000,109123310
Japan,2001,107823470
Japan,2002,109037840
Japan,2003,103988540
Japan,2004,101740600
Japan,2005,102279016
Japan,2006,102845320
Japan,2007,99842340
Japan,2008,97022470
Japan,2009,86896530
Japan,2010,109617020
Japan,2011,89788820
Japan,2012,98907860
Japan,2013,107573000
Japan,2014,110547000
Japan,2015,114128000
Japan,2016,117708000
Japan,2017,123898000
Japan,2018,126387530
Japan,2019,130233350
Japan,2020,51131120
Japan,2021,45410144
