Entity,Year,Patent applications
China,1985,4065
China,1986,3494
China,1987,3975
China,1988,4780
China,1989,4749
China,1990,5832
China,1991,7372
China,1992,10022
China,1993,12084
China,1994,11191
China,1995,10011
China,1996,11628
China,1997,12672
China,1998,13751
China,1999,15626
China,2000,25346
China,2001,30038
China,2002,39806
China,2003,56769
China,2004,65786
China,2005,93485
China,2006,122318
China,2007,153060
China,2008,194579
China,2009,229096
China,2010,293066
China,2011,415829
China,2012,535313
China,2013,704936
China,2014,801135
China,2015,968252
China,2016,1204981
China,2017,1245709
China,2018,1393815
China,2019,1243568
China,2020,1344817
China,2021,1426644
Japan,1985,274373
Japan,1986,290202
Japan,1987,311006
Japan,1988,308908
Japan,1989,317566
Japan,1990,333230
Japan,1991,335933
Japan,1992,338019
Japan,1993,332345
Japan,1994,319938
Japan,1995,334612
Japan,1996,340101
Japan,1997,350807
Japan,1998,359381
Japan,1999,360180
Japan,2000,387364
Japan,2001,386767
Japan,2002,369458
Japan,2003,358184
Japan,2004,368416
Japan,2005,367960
Japan,2006,347060
Japan,2007,333498
Japan,2008,330110
Japan,2009,295315
Japan,2010,290081
Japan,2011,287580
Japan,2012,287013
Japan,2013,271731
Japan,2014,265959
Japan,2015,258839
Japan,2016,260244
Japan,2017,260292
Japan,2018,253630
Japan,2019,245372
Japan,2020,227348
Japan,2021,222452
