Entity,Year,Fertility rate - Sex: all - Age: all - Variant: estimates
Asia (UN),1950,5.694
Asia (UN),1951,5.609
Asia (UN),1952,5.926
Asia (UN),1953,5.757
Asia (UN),1954,5.863
Asia (UN),1955,5.85
Asia (UN),1956,5.691
Asia (UN),1957,5.913
Asia (UN),1958,5.646
Asia (UN),1959,5.274
Asia (UN),1960,5.183
Asia (UN),1961,4.951
Asia (UN),1962,5.789
Asia (UN),1963,6.313
Asia (UN),1964,5.994
Asia (UN),1965,5.948
Asia (UN),1966,5.774
Asia (UN),1967,5.595
Asia (UN),1968,5.815
Asia (UN),1969,5.654
Asia (UN),1970,5.591
Asia (UN),1971,5.352
Asia (UN),1972,5.164
Asia (UN),1973,4.978
Asia (UN),1974,4.716
Asia (UN),1975,4.43
Asia (UN),1976,4.263
Asia (UN),1977,4.058
Asia (UN),1978,3.966
Asia (UN),1979,3.945
Asia (UN),1980,3.908
Asia (UN),1981,3.871
Asia (UN),1982,3.88
Asia (UN),1983,3.671
Asia (UN),1984,3.642
Asia (UN),1985,3.591
Asia (UN),1986,3.58
Asia (UN),1987,3.543
Asia (UN),1988,3.412
Asia (UN),1989,3.36
Asia (UN),1990,3.314
Asia (UN),1991,3.048
Asia (UN),1992,2.936
Asia (UN),1993,2.86
Asia (UN),1994,2.802
Asia (UN),1995,2.748
Asia (UN),1996,2.693
Asia (UN),1997,2.649
Asia (UN),1998,2.607
Asia (UN),1999,2.575
Asia (UN),2000,2.584
Asia (UN),2001,2.532
Asia (UN),2002,2.49
Asia (UN),2003,2.451
Asia (UN),2004,2.428
Asia (UN),2005,2.397
Asia (UN),2006,2.381
Asia (UN),2007,2.367
Asia (UN),2008,2.361
Asia (UN),2009,2.353
Asia (UN),2010,2.323
Asia (UN),2011,2.303
Asia (UN),2012,2.331
Asia (UN),2013,2.281
Asia (UN),2014,2.265
Asia (UN),2015,2.227
Asia (UN),2016,2.241
Asia (UN),2017,2.206
Asia (UN),2018,2.118
Asia (UN),2019,2.075
Asia (UN),2020,1.973
Asia (UN),2021,1.927
Asia (UN),2022,1.896
Asia (UN),2023,1.881
Iran,1950,6.97
Iran,1951,6.977
Iran,1952,7.005
Iran,1953,7.026
Iran,1954,7.048
Iran,1955,7.151
Iran,1956,7.249
Iran,1957,7.354
Iran,1958,7.458
Iran,1959,7.571
Iran,1960,7.519
Iran,1961,7.459
Iran,1962,7.401
Iran,1963,7.317
Iran,1964,7.237
Iran,1965,7.222
Iran,1966,7.214
Iran,1967,7.19
Iran,1968,7.119
Iran,1969,7.007
Iran,1970,6.798
Iran,1971,6.549
Iran,1972,6.257
Iran,1973,6.061
Iran,1974,5.968
Iran,1975,5.947
Iran,1976,6.066
Iran,1977,6.179
Iran,1978,6.344
Iran,1979,6.549
Iran,1980,6.63
Iran,1981,6.618
Iran,1982,6.586
Iran,1983,6.528
Iran,1984,6.433
Iran,1985,6.242
Iran,1986,6.011
Iran,1987,5.719
Iran,1988,5.434
Iran,1989,5.172
Iran,1990,4.934
Iran,1991,4.568
Iran,1992,4.099
Iran,1993,3.674
Iran,1994,3.244
Iran,1995,2.852
Iran,1996,2.542
Iran,1997,2.323
Iran,1998,2.19
Iran,1999,2.089
Iran,2000,1.999
Iran,2001,1.918
Iran,2002,1.836
Iran,2003,1.801
Iran,2004,1.78
Iran,2005,1.756
Iran,2006,1.755
Iran,2007,1.748
Iran,2008,1.743
Iran,2009,1.74
Iran,2010,1.749
Iran,2011,1.792
Iran,2012,1.851
Iran,2013,1.913
Iran,2014,1.975
Iran,2015,2.017
Iran,2016,2.054
Iran,2017,2.023
Iran,2018,1.919
Iran,2019,1.766
Iran,2020,1.7
Iran,2021,1.709
Iran,2022,1.704
Iran,2023,1.695
World,1950,4.852
World,1951,4.816
World,1952,5.001
World,1953,4.922
World,1954,4.998
World,1955,5.003
World,1956,4.931
World,1957,5.068
World,1958,4.932
World,1959,4.74
World,1960,4.696
World,1961,4.571
World,1962,5.022
World,1963,5.308
World,1964,5.123
World,1965,5.071
World,1966,4.961
World,1967,4.852
World,1968,4.963
World,1969,4.866
World,1970,4.825
World,1971,4.679
World,1972,4.545
World,1973,4.416
World,1974,4.259
World,1975,4.08
World,1976,3.974
World,1977,3.85
World,1978,3.787
World,1979,3.771
World,1980,3.744
World,1981,3.711
World,1982,3.712
World,1983,3.581
World,1984,3.553
World,1985,3.515
World,1986,3.504
World,1987,3.476
World,1988,3.39
World,1989,3.347
World,1990,3.31
World,1991,3.131
World,1992,3.044
World,1993,2.98
World,1994,2.933
World,1995,2.889
World,1996,2.846
World,1997,2.809
World,1998,2.776
World,1999,2.75
World,2000,2.754
World,2001,2.714
World,2002,2.684
World,2003,2.659
World,2004,2.647
World,2005,2.63
World,2006,2.625
World,2007,2.623
World,2008,2.626
World,2009,2.621
World,2010,2.602
World,2011,2.588
World,2012,2.607
World,2013,2.572
World,2014,2.564
World,2015,2.537
World,2016,2.536
World,2017,2.504
World,2018,2.437
World,2019,2.397
World,2020,2.322
World,2021,2.291
World,2022,2.265
World,2023,2.251
