Entity,Year,public_health_expenditure_pc_gdp
Australia,1880,0
Australia,1890,0
Australia,1900,0
Australia,1910,0.38
Australia,1920,0.57
Australia,1930,0.44
Australia,1960,1.913669591
Australia,1961,2.092821637
Australia,1962,2.23125731
Australia,1963,2.141681287
Australia,1964,2.149824561
Australia,1965,2.223114035
Australia,1966,2.182397661
Australia,1967,2.019532164
Australia,1968,2.190540936
Australia,1969,2.304546784
Australia,1970,2.622134503
Australia,1971,2.785
Australia,1972,2.761
Australia,1973,2.738
Australia,1974,3.12
Australia,1975,4.199
Australia,1976,3.824
Australia,1977,3.686
Australia,1978,3.679
Australia,1979,3.585
Australia,1980,3.662
Australia,1981,3.572
Australia,1982,3.593
Australia,1983,3.799
Australia,1984,4.298
Australia,1985,4.338
Australia,1986,4.402
Australia,1987,4.275
Australia,1988,4.13
Australia,1989,4.118
Australia,1990,4.281
Australia,1991,4.466
Australia,1992,4.496
Australia,1993,4.494
Australia,1994,4.506
Australia,1995,4.593
Australia,1996,4.648
Australia,1997,4.766
Australia,1998,4.904
Australia,1999,5.105
Australia,2000,5.197
Australia,2001,5.206
Australia,2002,5.406
Australia,2003,5.364
Australia,2004,5.529
Australia,2005,5.454
Australia,2006,5.452
Australia,2007,5.585
Australia,2008,5.695
Australia,2009,5.926
Australia,2010,5.781
Australia,2011,5.911
Australia,2012,5.859
Australia,2013,5.685
Australia,2014,6.658
Australia,2015,6.985
Australia,2016,6.942
Australia,2017,6.991
Australia,2018,7.009
Australia,2019,7.361
Australia,2020,7.612
France,1880,0.25
France,1890,0.29
France,1900,0.27
France,1910,0.26
France,1920,0.23
France,1930,0.32
France,1960,2.193172414
France,1961,2.452772414
France,1962,2.694468966
France,1963,2.900358621
France,1964,3.097296552
France,1965,3.177862069
France,1966,3.338993103
France,1967,3.446413793
France,1968,3.330041379
France,1969,3.643351724
France,1970,3.894
France,1971,4.0692
France,1972,4.2444
France,1973,4.4196
France,1974,4.5948
France,1975,4.77
France,1976,4.8916
France,1977,5.0132
France,1978,5.1348
France,1979,5.2564
France,1980,5.378
France,1981,5.4996
France,1982,5.6212
France,1983,5.7428
France,1984,5.8644
France,1985,5.986
France,1986,6.004
France,1987,6.022
France,1988,6.04
France,1989,6.058
France,1990,6.076
France,1991,6.217
France,1992,6.411
France,1993,6.716
France,1994,6.656
France,1995,7.818
France,1996,7.809
France,1997,7.719
France,1998,7.628
France,1999,7.624
France,2000,7.56
France,2001,7.659
France,2002,7.935
France,2003,7.943
France,2004,8.008
France,2005,8.038
France,2006,8.021
France,2007,7.945
France,2008,8.032
France,2009,8.636
France,2010,8.561
France,2011,8.501
France,2012,8.596
France,2013,9.345
France,2014,9.479
France,2015,9.438
France,2016,9.521
France,2017,9.43
France,2018,9.345
France,2019,9.273
France,2020,10.338
Japan,1880,0.03
Japan,1890,0.07
Japan,1900,0.1
Japan,1910,0.1
Japan,1920,0.1
Japan,1930,0.12
Japan,1960,1.733160377
Japan,1961,1.982122642
Japan,1962,2.097028302
Japan,1963,2.250235849
Japan,1964,2.365141509
Japan,1965,2.623679245
Japan,1966,2.623679245
Japan,1967,2.700283019
Japan,1968,2.700283019
Japan,1969,2.65240566
Japan,1970,3.045
Japan,1971,2.941
Japan,1972,3.099
Japan,1973,3.069
Japan,1974,3.629
Japan,1975,3.899
Japan,1976,4.066
Japan,1977,4.039
Japan,1978,4.362
Japan,1979,4.352
Japan,1980,4.454
Japan,1981,4.495
Japan,1982,4.599
Japan,1983,4.766
Japan,1984,4.64
Japan,1985,4.584
Japan,1986,4.645
Japan,1987,4.705
Japan,1988,4.59
Japan,1989,4.518
Japan,1990,4.467
Japan,1991,4.523
Japan,1992,4.708
Japan,1993,5.014
Japan,1994,5.081
Japan,1995,5.046
Japan,1996,4.915
Japan,1997,5.08
Japan,1998,5.214
Japan,1999,5.496
Japan,2000,5.658
Japan,2001,5.861
Japan,2002,5.937
Japan,2003,5.987
Japan,2004,6.049
Japan,2005,6.216
Japan,2006,6.174
Japan,2007,6.321
Japan,2008,6.566
Japan,2009,7.283
Japan,2010,7.425
Japan,2011,8.783
Japan,2012,8.957
Japan,2013,8.994
Japan,2014,9.025
Japan,2015,9.039
Japan,2016,8.957
Japan,2017,8.974
Japan,2018,9.002
Japan,2019,9.201
Japan,2020,9.28
