Entity,Year,public_health_expenditure_pc_gdp
Japan,1880,0.03
Japan,1890,0.07
Japan,1900,0.1
Japan,1910,0.1
Japan,1920,0.1
Japan,1930,0.12
Japan,1960,1.733160377
Japan,1961,1.982122642
Japan,1962,2.097028302
Japan,1963,2.250235849
Japan,1964,2.365141509
Japan,1965,2.623679245
Japan,1966,2.623679245
Japan,1967,2.700283019
Japan,1968,2.700283019
Japan,1969,2.65240566
Japan,1970,3.045
Japan,1971,2.941
Japan,1972,3.099
Japan,1973,3.069
Japan,1974,3.629
Japan,1975,3.899
Japan,1976,4.066
Japan,1977,4.039
Japan,1978,4.362
Japan,1979,4.352
Japan,1980,4.454
Japan,1981,4.495
Japan,1982,4.599
Japan,1983,4.766
Japan,1984,4.64
Japan,1985,4.584
Japan,1986,4.645
Japan,1987,4.705
Japan,1988,4.59
Japan,1989,4.518
Japan,1990,4.467
Japan,1991,4.523
Japan,1992,4.708
Japan,1993,5.014
Japan,1994,5.081
Japan,1995,5.046
Japan,1996,4.915
Japan,1997,5.08
Japan,1998,5.214
Japan,1999,5.496
Japan,2000,5.658
Japan,2001,5.861
Japan,2002,5.937
Japan,2003,5.987
Japan,2004,6.049
Japan,2005,6.216
Japan,2006,6.174
Japan,2007,6.321
Japan,2008,6.566
Japan,2009,7.283
Japan,2010,7.425
Japan,2011,8.783
Japan,2012,8.957
Japan,2013,8.994
Japan,2014,9.025
Japan,2015,9.039
Japan,2016,8.957
Japan,2017,8.974
Japan,2018,9.002
Japan,2019,9.201
Japan,2020,9.28
