Entity,Year,"Population, female (% of total population)"
China,1960,48.86009
China,1961,48.89675
China,1962,48.92729
China,1963,48.950905
China,1964,48.971474
China,1965,48.99157
China,1966,49.00922
China,1967,49.02362
China,1968,49.034164
China,1969,49.04097
China,1970,49.04545
China,1971,49.04744
China,1972,49.048428
China,1973,49.049988
China,1974,49.053555
China,1975,49.059566
China,1976,49.066204
China,1977,49.073067
China,1978,49.080345
China,1979,49.08696
China,1980,49.092564
China,1981,49.097237
China,1982,49.100227
China,1983,49.102837
China,1984,49.10481
China,1985,49.104046
China,1986,49.09993
China,1987,49.092247
China,1988,49.082268
China,1989,49.0693
China,1990,49.05124
China,1991,49.030144
China,1992,49.010048
China,1993,48.992313
China,1994,48.974354
China,1995,48.955925
China,1996,48.938004
China,1997,48.92016
China,1998,48.905144
China,1999,48.889584
China,2000,48.872173
China,2001,48.860836
China,2002,48.854652
China,2003,48.848934
China,2004,48.843395
China,2005,48.838085
China,2006,48.83247
China,2007,48.827198
China,2008,48.822464
China,2009,48.817753
China,2010,48.8144
China,2011,48.812916
China,2012,48.8125
China,2013,48.813663
China,2014,48.81696
China,2015,48.82312
China,2016,48.83231
China,2017,48.846832
China,2018,48.865734
China,2019,48.885273
China,2020,48.910202
China,2021,48.940754
China,2022,48.969036
Oman,1960,49.820614
Oman,1961,49.86101
Oman,1962,49.89509
Oman,1963,49.92411
Oman,1964,49.948177
Oman,1965,49.9675
Oman,1966,49.984035
Oman,1967,49.996624
Oman,1968,50.00651
Oman,1969,50.014153
Oman,1970,50.019756
Oman,1971,50.02272
Oman,1972,50.029446
Oman,1973,50.039047
Oman,1974,50.044125
Oman,1975,49.989838
Oman,1976,49.853596
Oman,1977,49.679955
Oman,1978,49.491646
Oman,1979,49.30612
Oman,1980,49.13579
Oman,1981,48.97306
Oman,1982,48.81152
Oman,1983,48.660664
Oman,1984,48.528633
Oman,1985,47.82031
Oman,1986,46.642963
Oman,1987,45.602604
Oman,1988,44.677113
Oman,1989,43.85041
Oman,1990,43.108433
Oman,1991,42.438766
Oman,1992,41.829674
Oman,1993,41.30181
Oman,1994,41.209415
Oman,1995,41.48132
Oman,1996,41.7398
Oman,1997,41.987175
Oman,1998,42.22567
Oman,1999,42.456024
Oman,2000,42.67824
Oman,2001,42.892666
Oman,2002,43.099457
Oman,2003,43.28652
Oman,2004,43.24669
Oman,2005,43.003994
Oman,2006,42.77068
Oman,2007,42.54657
Oman,2008,42.332146
Oman,2009,42.128654
Oman,2010,40.702534
Oman,2011,38.458218
Oman,2012,36.639515
Oman,2013,35.557552
Oman,2014,35.365417
Oman,2015,35.244606
Oman,2016,34.82741
Oman,2017,34.80821
Oman,2018,35.421288
Oman,2019,36.45778
Oman,2020,37.914654
Oman,2021,38.905304
Oman,2022,39.132153
Saudi Arabia,1960,49.28234
Saudi Arabia,1961,49.255024
Saudi Arabia,1962,49.209267
Saudi Arabia,1963,49.153755
Saudi Arabia,1964,49.09283
Saudi Arabia,1965,49.02702
Saudi Arabia,1966,48.959
Saudi Arabia,1967,48.885864
Saudi Arabia,1968,48.802837
Saudi Arabia,1969,48.709812
Saudi Arabia,1970,48.601345
Saudi Arabia,1971,48.466434
Saudi Arabia,1972,48.297523
Saudi Arabia,1973,48.106003
Saudi Arabia,1974,47.91142
Saudi Arabia,1975,47.52928
Saudi Arabia,1976,47.00412
Saudi Arabia,1977,46.5139
Saudi Arabia,1978,46.047504
Saudi Arabia,1979,45.62512
Saudi Arabia,1980,45.236217
Saudi Arabia,1981,44.8866
Saudi Arabia,1982,44.57591
Saudi Arabia,1983,44.285767
Saudi Arabia,1984,44.023907
Saudi Arabia,1985,43.798485
Saudi Arabia,1986,43.60927
Saudi Arabia,1987,43.44987
Saudi Arabia,1988,43.3059
Saudi Arabia,1989,43.174377
Saudi Arabia,1990,43.05284
Saudi Arabia,1991,42.951893
Saudi Arabia,1992,42.88112
Saudi Arabia,1993,42.845924
Saudi Arabia,1994,42.808865
Saudi Arabia,1995,42.790604
Saudi Arabia,1996,42.808872
Saudi Arabia,1997,42.817116
Saudi Arabia,1998,42.81963
Saudi Arabia,1999,42.82807
Saudi Arabia,2000,42.836475
Saudi Arabia,2001,42.842197
Saudi Arabia,2002,42.855293
Saudi Arabia,2003,42.88923
Saudi Arabia,2004,42.989544
Saudi Arabia,2005,43.026302
Saudi Arabia,2006,42.949375
Saudi Arabia,2007,42.866173
Saudi Arabia,2008,42.77806
Saudi Arabia,2009,42.68982
Saudi Arabia,2010,42.65895
Saudi Arabia,2011,42.699944
Saudi Arabia,2012,42.75278
Saudi Arabia,2013,42.796684
Saudi Arabia,2014,42.83635
Saudi Arabia,2015,42.674213
Saudi Arabia,2016,42.269737
Saudi Arabia,2017,42.009914
Saudi Arabia,2018,41.928673
Saudi Arabia,2019,41.843082
Saudi Arabia,2020,41.9763
Saudi Arabia,2021,42.236393
Saudi Arabia,2022,42.378704
